省份,A类,B1(计算),B2(计算),B3(计算),B总名额(计算),总名额
安徽,5,3.33,2,1,6,11
北京,5,5.42,2,2,9,14
重庆,5,1.65,3,3,8,13
福建,5,4.22,2,1,7,12
广东,5,9.67,2,4,12,17
甘肃,5,0.35,1,0,1,6
广西,5,1.49,1,0,2,7
贵州,5,1.10,1,0,2,7
河南,5,2.34,2,0,4,9
湖北,5,1.92,2,0,4,9
河北,5,2.15,2,1,5,10
海南,5,0.83,1,0,2,7
黑龙江,5,0.85,1,0,2,7
湖南,5,3.18,2,2,7,12
吉林,5,0.76,1,0,2,7
江苏,5,5.13,2,5,12,17
江西,5,1.14,2,0,3,8
辽宁,5,1.30,1,0,2,7
内蒙古,5,0.70,1,0,2,7
四川,5,4.20,2,2,8,13
山东,5,6.90,2,1,10,15
上海,5,2.81,2,3,8,13
陕西,5,1.80,2,0,4,9
山西,5,1.59,1,0,3,8
天津,5,1.51,1,0,3,8
新疆,5,0.99,1,0,2,7
云南,5,1.03,1,0,2,7
浙江,5,6.06,2,5,12,17
