省份,A类,B1(计算),B2(计算),B3(计算),B总名额(计算),总名额
安徽,5,2.68,2,1,6,11
北京,5,5.06,2,2,9,14
重庆,5,3.25,3,3,9,14
福建,5,4.25,2,1,7,12
广东,5,8.71,2,4,12,17
甘肃,5,0.53,1,0,1,6
广西,5,1.34,1,0,2,7
贵州,5,0.96,1,0,2,7
河南,5,2.04,2,0,4,9
湖北,5,2.00,2,0,4,9
河北,5,1.97,2,1,5,10
海南,5,0.74,1,0,2,7
黑龙江,5,0.91,1,0,2,7
湖南,5,3.58,2,2,8,13
吉林,5,0.95,1,0,2,7
江苏,5,4.85,2,5,12,17
江西,5,1.35,2,0,3,8
辽宁,5,1.31,1,0,2,7
内蒙古,5,0.65,1,0,2,7
四川,5,4.65,2,2,9,14
山东,5,5.37,2,1,8,13
上海,5,3.23,2,3,8,13
陕西,5,1.72,2,0,4,9
山西,5,1.35,1,0,2,7
天津,5,1.26,1,0,2,7
新疆,5,0.85,1,0,2,7
云南,5,0.89,1,0,2,7
浙江,5,6.72,2,5,12,17
