省份,A类,B1(计算),B2(计算),B3(计算),B总名额(计算),总名额
安徽,5,2.98,2,1,6,11
北京,5,5.05,2,2,9,14
重庆,5,3.11,3,3,9,14
福建,5,4.72,2,1,8,13
广东,5,10.66,2,4,12,17
甘肃,5,0.24,1,0,1,6
广西,5,1.17,1,0,2,7
贵州,5,0.95,1,0,2,7
河南,5,2.03,2,0,4,9
湖北,5,1.74,2,0,4,9
河北,5,1.88,2,1,5,10
海南,5,0.54,1,0,2,7
黑龙江,5,0.88,1,0,2,7
湖南,5,3.48,2,2,7,12
吉林,5,0.79,1,0,2,7
江苏,5,5.67,2,5,12,17
江西,5,1.18,2,0,3,8
辽宁,5,1.07,1,0,2,7
内蒙古,5,0.56,1,0,2,7
四川,5,5.19,2,2,9,14
山东,5,6.42,2,1,9,14
上海,5,4.13,2,3,9,14
陕西,5,1.60,2,0,4,9
山西,5,1.03,1,0,2,7
天津,5,0.94,1,0,2,7
新疆,5,0.74,1,0,2,7
云南,5,0.77,1,0,2,7
浙江,5,5.45,2,5,12,17
