省份代码,A类名额,B1,B2,B3,A+B类总名额
GD,30,468,288,95,881
ZJ,30,293,219,138,680
SD,30,334,119,60,543
BJ,30,262,134,86,512
JS,30,248,121,92,491
SC,30,203,135,102,470
FJ,30,204,126,70,430
HN,30,154,91,87,362
CQ,30,80,123,96,329
SH,30,136,103,58,327
AH,30,161,50,30,271
HA,30,113,33,30,206
HB,30,93,38,41,202
HE,30,104,36,29,199
SN,30,87,29,28,174
JX,30,55,33,19,137
SX,30,77,7,23,137
GX,30,72,11,23,136
LN,30,63,18,22,133
TJ,30,73,10,14,127
GZ,30,53,8,6,97
JL,30,37,11,18,96
HL,30,41,9,12,92
YN,30,50,4,6,90
XJ,30,48,5,3,86
HI,30,40,2,3,75
NM,30,34,2,0,66
HK,30,5,11,19,65
GS,30,17,1,6,54
NX,30,15,0,0,45
MO,30,4,4,3,41
QH,30,4,0,0,34
TOTAL,960,3628,1781,1219,7588
