#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,BJ-0013,400,100,100,100,100
2,BJ-0011,372,100,92,100,80
3,BJ-0023,348,100,100,48,100
4,BJ-0017,341,100,100,76,65
4,BJ-0429,341,100,100,76,65
6,BJ-0007,340,100,100,100,40
6,BJ-0021,340,100,92,48,100
8,BJ-0121,321,100,100,76,45
9,BJ-0002,316,95,100,76,45
9,BJ-0299,316,100,100,76,40
9,BJ-0536,316,100,100,76,40
12,BJ-0676,308,100,100,8,100
13,BJ-0024,304,100,100,24,80
14,BJ-0018,301,95,100,76,30
14,BJ-0057,301,100,100,16,85
16,BJ-0564,300,100,100,0,100
17,BJ-0034,295,95,92,68,40
18,BJ-0025,286,100,92,24,70
19,BJ-0019,283,100,100,48,35
20,BJ-0008,277,100,92,40,45
21,BJ-0027,276,100,100,76,0
22,BJ-0006,273,100,100,48,25
22,BJ-0026,273,85,100,48,40
22,BJ-0424,273,100,100,48,25
25,BJ-0004,268,100,100,48,20
26,BJ-0584,267,100,100,32,35
27,BJ-0136,265,100,100,40,25
27,BJ-0241,265,100,100,40,25
27,BJ-0528,265,95,92,48,30
30,BJ-0016,264,95,96,48,25
31,BJ-0012,261,95,100,56,10
32,BJ-0014,259,100,96,48,15
33,BJ-0010,257,100,92,0,65
34,BJ-0029,256,100,100,56,0
34,BJ-0401,256,100,100,16,40
36,BJ-0030,253,100,100,48,5
37,BJ-0338,251,95,100,56,0
38,BJ-0515,250,95,100,40,15
39,BJ-0612,249,100,100,24,25
40,BJ-0001,248,100,100,8,40
40,BJ-0499,248,100,100,48,-
40,BJ-0520,248,100,100,8,40
43,BJ-0449,240,100,100,0,40
43,BJ-0456,240,100,100,0,40
45,BJ-0381,238,95,96,32,15
46,BJ-0285,233,100,100,8,25
47,BJ-0235,230,100,100,0,30
47,BJ-0389,230,100,100,0,30
49,BJ-0050,228,100,28,0,100
50,BJ-0028,227,100,92,0,35
51,BJ-0022,225,100,100,0,25
51,BJ-0037,225,95,100,0,30
53,BJ-0384,224,100,92,32,-
54,BJ-0430,223,100,60,48,15
55,BJ-0056,217,95,92,0,30
56,BJ-0096,216,100,92,24,-
57,BJ-0452,215,100,92,8,15
57,BJ-0523,215,100,100,0,15
59,BJ-0020,214,100,48,16,50
60,BJ-0626,212,100,84,8,20
61,BJ-0343,210,100,48,32,30
62,BJ-0303,209,100,84,0,25
62,BJ-0560,209,100,52,32,25
64,BJ-0624,205,100,100,0,5
64,BJ-0665,205,100,100,0,5
66,BJ-0079,200,95,92,8,5
66,BJ-0372,200,95,100,0,5
66,BJ-0469,200,100,100,-,-
66,BJ-0649,200,100,68,32,0
70,BJ-0256,199,100,68,16,15
71,BJ-0129,197,100,52,40,5
72,BJ-0447,195,95,92,8,-
72,BJ-0615,195,95,92,8,-
74,BJ-0358,193,85,100,8,0
75,BJ-0327,192,100,92,0,-
76,BJ-0617,189,100,20,24,45
77,BJ-0495,185,100,64,16,5
78,BJ-0100,183,100,48,-,35
78,BJ-0599,183,95,48,0,40
80,BJ-0078,182,100,44,8,30
80,BJ-0391,182,90,72,0,20
82,BJ-0610,181,100,48,8,25
83,BJ-0407,180,100,80,0,-
84,BJ-0280,177,100,52,0,25
84,BJ-0497,177,95,52,0,30
84,BJ-0611,177,100,44,8,25
84,BJ-0623,177,100,32,0,45
88,BJ-0669,176,100,32,4,40
89,BJ-0608,175,100,52,8,15
90,BJ-0470,173,90,52,16,15
91,BJ-0371,170,95,52,8,15
91,BJ-0674,170,100,24,16,30
93,BJ-0176,168,95,20,8,45
94,BJ-0436,166,95,28,8,35
95,BJ-0044,165,100,32,8,25
95,BJ-0204,165,100,52,8,5
95,BJ-0570,165,95,24,16,30
98,BJ-0387,164,85,-,44,35
98,BJ-0400,164,100,24,40,0
98,BJ-0581,164,95,64,0,5
98,BJ-0582,164,100,24,0,40
98,BJ-0628,164,100,48,16,-
103,BJ-0227,163,100,32,16,15
103,BJ-0353,163,95,20,48,-
103,BJ-0534,163,100,32,16,15
106,BJ-0555,161,100,44,12,5
107,BJ-0131,159,95,64,0,-
107,BJ-0533,159,100,44,0,15
109,BJ-0352,158,100,20,8,30
109,BJ-0572,158,95,48,0,15
111,BJ-0590,157,95,44,8,10
112,BJ-0042,156,100,56,-,0
112,BJ-0049,156,100,48,8,-
112,BJ-0267,156,95,20,16,25
112,BJ-0519,156,100,8,8,40
112,BJ-0567,156,95,8,48,5
112,BJ-0598,156,100,48,8,-
118,BJ-0122,155,100,24,16,15
118,BJ-0148,155,95,52,8,0
120,BJ-0512,154,100,24,0,30
120,BJ-0552,154,90,64,-,-
122,BJ-0055,153,100,20,8,25
122,BJ-0069,153,100,12,16,25
122,BJ-0496,153,100,28,0,25
122,BJ-0659,153,100,24,24,5
126,BJ-0270,152,100,52,-,-
126,BJ-0302,152,95,52,0,5
128,BJ-0258,151,100,28,8,15
128,BJ-0568,151,100,28,8,15
130,BJ-0678,149,95,28,16,10
130,BJ-0685,149,100,44,-,5
132,BJ-0015,148,100,0,48,-
132,BJ-0071,148,100,48,0,0
132,BJ-0237,148,85,48,0,15
132,BJ-0417,148,100,48,-,-
132,BJ-0522,148,100,28,0,20
132,BJ-0578,148,100,48,-,0
132,BJ-0637,148,95,24,24,5
132,BJ-0691,148,100,24,24,0
140,BJ-0146,147,100,24,8,15
140,BJ-0359,147,100,24,8,15
140,BJ-0549,147,95,52,-,-
140,BJ-0616,147,95,52,0,-
144,BJ-0460,146,95,20,16,15
144,BJ-0651,146,90,48,8,0
146,BJ-0438,145,100,32,8,5
147,BJ-0059,144,100,4,40,-
147,BJ-0097,144,60,28,16,40
147,BJ-0432,144,85,20,24,15
147,BJ-0476,144,95,28,16,5
147,BJ-0579,144,100,44,-,-
152,BJ-0396,143,95,8,40,-
152,BJ-0540,143,100,20,8,15
152,BJ-0640,143,100,28,0,15
155,BJ-0382,141,100,24,12,5
155,BJ-0542,141,100,20,16,5
155,BJ-0595,141,100,28,8,5
158,BJ-0169,140,100,28,12,-
158,BJ-0393,140,100,28,12,0
158,BJ-0656,140,100,16,24,-
161,BJ-0679,139,95,4,40,-
162,BJ-0038,138,100,8,0,30
163,BJ-0269,137,100,32,0,5
163,BJ-0454,137,100,24,8,5
163,BJ-0508,137,100,24,8,5
163,BJ-0516,137,80,28,24,5
167,BJ-0068,136,100,28,8,0
167,BJ-0125,136,100,20,16,-
167,BJ-0201,136,90,20,16,10
167,BJ-0210,136,100,4,32,-
167,BJ-0242,136,100,36,-,-
167,BJ-0276,136,80,32,24,-
167,BJ-0332,136,100,20,16,-
167,BJ-0398,136,100,28,8,-
167,BJ-0408,136,100,24,12,-
167,BJ-0442,136,100,36,-,0
167,BJ-0543,136,100,28,8,-
