#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,CQ-0220,376,100,100,76,100
2,CQ-0003,358,100,92,76,90
3,CQ-0019,351,100,100,76,75
4,CQ-0022,346,100,100,76,70
5,CQ-0018,338,95,100,68,75
6,CQ-0009,335,100,100,60,75
7,CQ-0005,332,100,96,56,80
8,CQ-0239,330,95,100,100,35
9,CQ-0038,323,100,100,48,75
10,CQ-0224,316,95,100,56,65
11,CQ-0054,313,100,100,68,45
11,CQ-0093,313,100,100,48,65
13,CQ-0014,310,100,92,48,70
14,CQ-0020,303,100,92,76,35
15,CQ-0070,298,100,100,48,50
16,CQ-0001,296,100,100,56,40
16,CQ-0004,296,100,100,56,40
16,CQ-0016,296,95,100,56,45
19,CQ-0013,293,100,100,48,45
20,CQ-0015,288,90,100,48,50
20,CQ-0049,288,100,100,48,40
20,CQ-0227,288,100,100,48,40
23,CQ-0221,286,100,100,56,30
24,CQ-0243,283,100,100,48,35
25,CQ-0010,281,100,100,76,5
26,CQ-0012,280,100,100,40,40
26,CQ-0229,280,90,100,40,50
28,CQ-0017,276,100,100,76,0
28,CQ-0232,276,100,92,44,40
30,CQ-0101,275,95,100,40,40
31,CQ-0008,273,100,100,48,25
31,CQ-0060,273,100,100,48,25
33,CQ-0089,272,100,100,32,40
34,CQ-0067,271,100,100,56,15
35,CQ-0088,268,100,80,48,40
36,CQ-0065,264,100,100,24,40
37,CQ-0055,263,100,100,48,15
38,CQ-0081,261,100,100,56,5
39,CQ-0034,260,100,92,48,20
39,CQ-0126,260,90,100,40,30
41,CQ-0051,257,100,92,40,25
42,CQ-0042,256,100,100,16,40
43,CQ-0059,255,100,100,40,15
44,CQ-0007,253,100,100,28,25
44,CQ-0045,253,95,100,28,30
46,CQ-0062,251,100,64,12,75
46,CQ-0135,251,100,92,24,35
48,CQ-0040,249,100,100,24,25
48,CQ-0066,249,100,48,76,25
50,CQ-0225,248,100,100,8,40
51,CQ-0031,245,100,52,48,45
51,CQ-0222,245,100,100,0,45
53,CQ-0035,244,95,100,24,25
54,CQ-0011,242,95,92,40,15
55,CQ-0078,240,100,100,0,40
55,CQ-0223,240,100,100,40,0
57,CQ-0110,238,95,100,8,35
58,CQ-0006,235,95,100,-,40
58,CQ-0079,235,100,76,44,15
60,CQ-0071,232,95,92,-,45
61,CQ-0039,229,100,100,24,5
62,CQ-0129,223,100,100,8,15
62,CQ-0252,223,100,100,8,15
64,CQ-0077,221,100,28,48,45
65,CQ-0231,220,100,100,20,-
66,CQ-0103,219,95,96,8,20
67,CQ-0095,218,95,100,8,15
67,CQ-0153,218,100,80,8,30
69,CQ-0057,217,100,64,8,45
69,CQ-0083,217,100,76,16,25
69,CQ-0084,217,100,92,0,25
72,CQ-0148,216,100,52,24,40
73,CQ-0247,215,100,72,8,35
74,CQ-0033,214,100,100,4,10
75,CQ-0104,211,100,20,76,15
76,CQ-0251,210,100,32,48,30
77,CQ-0052,208,100,100,8,0
77,CQ-0122,208,95,96,12,5
77,CQ-0278,208,100,28,40,40
80,CQ-0138,207,95,92,0,20
81,CQ-0048,204,95,28,56,25
81,CQ-0100,204,100,24,40,40
83,CQ-0063,203,95,32,36,40
84,CQ-0061,201,85,100,16,0
85,CQ-0303,200,100,100,-,0
86,CQ-0114,198,100,48,40,10
87,CQ-0226,196,100,48,8,40
87,CQ-0246,196,100,48,8,40
89,CQ-0002,195,100,20,0,75
89,CQ-0334,195,95,92,8,0
91,CQ-0098,194,100,48,16,30
91,CQ-0111,194,95,28,56,15
93,CQ-0026,192,100,72,-,20
93,CQ-0244,192,100,92,0,0
93,CQ-0280,192,100,44,8,40
96,CQ-0273,190,90,100,-,0
97,CQ-0082,188,100,48,0,40
97,CQ-0094,188,100,40,8,40
97,CQ-0119,188,95,52,16,25
100,CQ-0284,186,100,20,16,50
101,CQ-0046,185,100,28,32,25
101,CQ-0282,185,85,100,0,-
