#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,FJ-0003,384,100,100,84,100
2,FJ-0035,351,100,100,76,75
2,FJ-0450,351,100,100,76,75
4,FJ-0008,335,100,100,60,75
5,FJ-0018,331,100,100,56,75
6,FJ-0449,323,100,100,48,75
7,FJ-0007,316,100,100,76,40
7,FJ-0086,316,100,100,76,40
9,FJ-0004,296,100,100,76,20
9,FJ-0013,296,100,100,56,40
11,FJ-0057,292,100,100,52,40
12,FJ-0005,291,100,100,16,75
12,FJ-0026,291,100,100,76,15
12,FJ-0454,291,100,100,56,35
15,FJ-0012,280,100,100,40,40
15,FJ-0016,280,100,92,48,40
15,FJ-0455,280,100,100,0,80
18,FJ-0042,278,100,100,48,30
19,FJ-0017,274,100,68,76,30
20,FJ-0044,273,95,100,48,30
21,FJ-0464,272,100,100,32,40
22,FJ-0055,271,95,100,76,0
23,FJ-0011,265,100,100,40,25
23,FJ-0015,265,100,100,40,25
25,FJ-0137,263,100,100,48,15
26,FJ-0009,261,100,100,56,5
27,FJ-0001,253,100,68,40,45
28,FJ-0031,250,100,72,48,30
29,FJ-0049,243,95,100,8,40
30,FJ-0040,240,100,100,40,0
30,FJ-0076,240,100,100,40,0
32,FJ-0552,235,95,100,0,40
33,FJ-0021,233,100,100,8,25
33,FJ-0025,233,95,92,16,30
35,FJ-0465,231,100,100,16,15
36,FJ-0019,228,100,40,48,40
37,FJ-0082,225,100,100,0,25
38,FJ-0066,224,100,100,24,0
39,FJ-0068,223,100,100,8,15
40,FJ-0555,220,100,92,28,0
41,FJ-0468,215,100,92,8,15
42,FJ-0120,213,100,100,8,5
43,FJ-0002,211,100,48,48,15
44,FJ-0051,210,95,100,0,15
44,FJ-0093,210,100,52,48,10
46,FJ-0527,209,95,84,0,30
47,FJ-0048,203,100,48,40,15
47,FJ-0067,203,95,100,8,-
49,FJ-0494,202,100,64,8,30
50,FJ-0220,198,100,52,16,30
51,FJ-0063,197,100,84,8,5
52,FJ-0010,196,0,100,56,40
52,FJ-0101,196,100,48,8,40
54,FJ-0052,184,100,28,16,40
54,FJ-0296,184,100,44,0,40
56,FJ-0091,180,100,32,8,40
56,FJ-0117,180,100,80,-,0
56,FJ-0141,180,100,40,0,40
56,FJ-0482,180,95,20,40,25
60,FJ-0096,179,100,28,16,35
60,FJ-0479,179,100,48,16,15
62,FJ-0131,178,100,32,16,30
63,FJ-0075,176,100,36,40,0
64,FJ-0116,175,95,72,8,0
65,FJ-0166,172,95,64,8,5
66,FJ-0172,170,95,28,12,35
67,FJ-0050,168,100,20,8,40
67,FJ-0150,168,95,20,48,5
67,FJ-0475,168,95,68,0,5
70,FJ-0078,167,100,44,8,15
70,FJ-0112,167,100,52,-,15
72,FJ-0090,166,75,68,8,15
72,FJ-0180,166,100,28,8,30
74,FJ-0604,164,100,44,0,20
75,FJ-0457,163,100,32,16,15
75,FJ-0536,163,80,52,16,15
77,FJ-0014,161,100,48,8,5
77,FJ-0023,161,100,24,32,5
77,FJ-0602,161,100,48,8,5
80,FJ-0022,157,95,20,32,10
80,FJ-0152,157,100,52,0,5
80,FJ-0179,157,95,24,28,10
80,FJ-0553,157,90,44,8,15
84,FJ-0061,156,100,32,4,20
84,FJ-0087,156,100,48,8,0
84,FJ-0139,156,95,48,8,5
87,FJ-0456,154,95,24,-,35
88,FJ-0045,153,100,32,16,5
88,FJ-0196,153,100,48,0,5
88,FJ-0254,153,100,24,24,5
91,FJ-0038,152,100,52,0,0
91,FJ-0077,152,100,24,8,20
91,FJ-0098,152,100,44,8,0
91,FJ-0164,152,100,28,24,0
91,FJ-0509,152,100,52,0,-
91,FJ-0540,152,100,52,0,0
91,FJ-0566,152,100,52,0,0
98,FJ-0024,150,95,0,40,15
98,FJ-0089,150,100,24,16,10
100,FJ-0030,149,100,36,8,5
100,FJ-0080,149,100,24,0,25
100,FJ-0121,149,100,44,0,5
100,FJ-0487,149,100,24,0,25
100,FJ-0506,149,100,28,16,5
100,FJ-0603,149,100,44,0,5
106,FJ-0027,148,100,8,0,40
106,FJ-0084,148,95,28,0,25
106,FJ-0197,148,100,48,-,0
106,FJ-0198,148,100,48,0,-
106,FJ-0204,148,100,48,0,0
106,FJ-0477,148,100,48,0,-
106,FJ-0512,148,95,28,0,25
113,FJ-0158,145,100,24,16,5
113,FJ-0523,145,100,32,8,5
113,FJ-0526,145,100,20,-,25
116,FJ-0134,144,95,28,16,5
116,FJ-0143,144,100,44,0,0
116,FJ-0497,144,100,32,12,0
119,FJ-0485,143,95,32,16,0
119,FJ-0498,143,95,48,0,0
121,FJ-0020,141,100,20,16,5
121,FJ-0033,141,95,8,8,30
121,FJ-0034,141,100,16,-,25
121,FJ-0499,141,100,28,8,5
125,FJ-0146,140,95,20,0,25
125,FJ-0215,140,100,40,0,0
125,FJ-0252,140,100,20,0,20
125,FJ-0277,140,100,40,-,0
125,FJ-0463,140,100,0,0,40
125,FJ-0493,140,100,32,8,0
125,FJ-0583,140,100,32,8,0
132,FJ-0491,139,95,24,0,20
132,FJ-0605,139,95,20,24,0
134,FJ-0508,138,95,28,0,15
135,FJ-0046,137,100,24,8,5
135,FJ-0142,137,100,24,8,5
135,FJ-0244,137,100,24,8,5
135,FJ-0467,137,100,28,4,5
139,FJ-0029,136,95,28,8,5
139,FJ-0073,136,100,28,8,0
139,FJ-0235,136,100,28,8,-
