#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,GD-0018,400,100,100,100,100
2,GD-0022,390,100,100,100,90
3,GD-0023,368,100,92,76,100
4,GD-0020,356,100,100,76,80
5,GD-0012,348,100,100,48,100
6,GD-0016,346,100,100,76,70
7,GD-0017,345,100,100,100,45
8,GD-0009,343,100,100,68,75
9,GD-0008,341,100,100,76,65
9,GD-0014,341,100,100,76,65
11,GD-0076,333,100,92,76,65
12,GD-0036,331,100,100,56,75
13,GD-0034,328,100,100,48,80
14,GD-0070,321,100,100,56,65
15,GD-0002,313,100,100,48,65
15,GD-0007,313,100,100,48,65
17,GD-0035,301,100,100,76,25
18,GD-0885,300,100,100,40,60
19,GD-0013,296,100,100,76,20
19,GD-0029,296,100,100,56,40
19,GD-0990,296,100,100,56,40
22,GD-0027,293,100,100,48,45
22,GD-0958,293,100,100,48,45
24,GD-0004,291,100,100,16,75
25,GD-0019,288,100,100,48,40
25,GD-0043,288,100,100,48,40
25,GD-0154,288,100,100,48,40
28,GD-0213,286,100,100,76,10
29,GD-0025,285,100,100,0,85
29,GD-0053,285,100,100,40,45
31,GD-0038,283,95,100,48,40
32,GD-0048,281,100,100,56,25
32,GD-0064,281,100,96,40,45
34,GD-0032,280,100,92,48,40
35,GD-0058,278,90,100,48,40
35,GD-0067,278,100,72,76,30
35,GD-0089,278,100,100,48,30
35,GD-0964,278,90,100,48,40
35,GD-1149,278,100,100,48,30
40,GD-0080,276,100,100,76,0
40,GD-0115,276,95,100,56,25
42,GD-0015,273,85,100,48,40
42,GD-0100,273,100,100,48,25
42,GD-0948,273,100,100,48,25
45,GD-0181,271,95,100,76,0
45,GD-0975,271,95,100,76,0
47,GD-0021,270,100,24,76,70
48,GD-0141,265,100,100,40,25
49,GD-0011,264,100,100,44,20
50,GD-0125,260,100,72,48,40
50,GD-0253,260,95,100,0,65
50,GD-0951,260,95,100,40,25
53,GD-0042,259,100,96,48,15
53,GD-0069,259,100,100,24,35
55,GD-0099,256,100,100,16,40
55,GD-0959,256,100,100,16,40
57,GD-0031,255,100,92,48,15
57,GD-0949,255,100,92,48,15
59,GD-0065,253,100,92,16,45
59,GD-0968,253,100,100,48,5
61,GD-0273,251,95,100,56,0
62,GD-0090,250,100,100,0,50
62,GD-1014,250,100,100,0,50
64,GD-0030,249,100,100,24,25
65,GD-0039,248,100,100,48,0
65,GD-1066,248,85,100,48,15
67,GD-0041,245,100,100,0,45
67,GD-0963,245,100,100,0,45
69,GD-0256,244,100,100,44,0
70,GD-0068,241,100,100,16,25
71,GD-0033,240,100,52,48,40
71,GD-0113,240,100,100,40,-
73,GD-0083,239,100,100,24,15
74,GD-0072,238,90,100,8,40
75,GD-0026,235,100,100,0,35
75,GD-0122,235,95,100,0,40
77,GD-0001,233,95,0,48,90
77,GD-0950,233,95,100,8,30
77,GD-0954,233,100,100,8,25
77,GD-1250,233,100,52,36,45
81,GD-1030,231,100,100,16,15
82,GD-0274,230,85,100,40,5
83,GD-0063,226,95,100,16,15
84,GD-0087,225,100,100,-,25
85,GD-0088,221,90,88,8,35
85,GD-0973,221,100,92,24,5
87,GD-0006,220,100,4,76,40
87,GD-0098,220,100,32,48,40
87,GD-0163,220,100,68,12,40
90,GD-0010,217,100,24,48,45
