#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,GS-0001,285,55,100,100,30
2,GS-S00129,123,95,28,0,0
3,GS-0027,112,100,4,8,0
4,GS-0004,100,100,0,0,0
4,GS-0018,100,100,-,-,-
6,GS-0005,95,95,0,-,-
7,GS-0002,94,90,4,0,0
8,GS-0003,90,85,0,0,5
8,GS-0020,90,90,0,-,-
8,GS-0022,90,90,0,0,0
8,GS-0024,90,90,0,0,0
12,GS-0023,83,75,8,0,0
13,GS-0015,80,80,0,0,0
13,GS-0017,80,80,0,-,-
15,GS-S00043,75,75,0,0,0
15,GS-S00079,75,75,0,-,-
15,GS-S00091,75,75,0,-,-
18,GS-0019,70,70,0,-,-
18,GS-0029,70,70,0,0,0
20,GS-0021,65,65,0,0,0
20,GS-S00028,65,65,0,-,-
22,GS-S00081,60,60,0,0,0
23,GS-S00162,55,55,0,-,-
24,GS-0028,35,35,-,-,-
25,GS-S00127,32,0,32,-,-
26,GS-0013,30,30,0,-,-
26,GS-0016,30,30,0,0,0
26,GS-0031,30,30,0,0,0
29,GS-0025,25,25,-,-,-
30,GS-0030,5,5,0,0,0
31,GS-0026,0,0,0,0,0
