#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,GX-0155,253,100,100,48,5
2,GX-0014,216,100,100,16,0
3,GX-0010,201,100,96,0,5
4,GX-0157,200,100,48,12,40
5,GX-0132,172,100,52,-,20
6,GX-0030,170,100,24,16,30
7,GX-0131,166,90,4,32,40
8,GX-0166,161,100,48,8,5
9,GX-0026,156,100,28,8,20
10,GX-0013,152,100,52,-,-
10,GX-0048,152,100,24,8,20
12,GX-0051,146,90,32,24,-
13,GX-0117,144,100,20,24,-
14,GX-0001,141,100,28,8,5
15,GX-0164,140,100,32,8,-
16,GX-0091,137,100,32,0,5
17,GX-0059,136,100,12,24,0
18,GX-0024,132,100,28,4,-
18,GX-0081,132,100,24,8,0
20,GX-0111,128,100,20,8,0
20,GX-0118,128,100,28,0,-
20,GX-0123,128,100,4,24,-
23,GX-0018,124,100,24,0,-
23,GX-0023,124,100,0,24,-
23,GX-0058,124,100,-,24,-
23,GX-0083,124,100,24,0,0
23,GX-0088,124,100,16,8,0
23,GX-0121,124,100,-,24,-
29,GX-0004,121,100,16,-,5
30,GX-0002,120,100,20,-,-
30,GX-0060,120,95,20,0,5
30,GX-0095,120,100,-,-,20
30,GX-0156,120,100,20,-,-
30,GX-0162,120,100,20,0,0
30,GX-0163,120,80,32,8,0
36,GX-0049,117,85,24,8,-
37,GX-0054,116,95,4,12,5
37,GX-0065,116,100,-,16,-
37,GX-0146,116,100,16,0,0
40,GX-0077,113,85,4,24,-
41,GX-0055,112,100,12,0,0
41,GX-0097,112,100,4,8,-
43,GX-0073,111,95,16,0,-
44,GX-0003,110,90,20,0,-
44,GX-0007,110,85,20,0,5
44,GX-0080,110,90,12,8,-
47,GX-0020,109,85,24,0,-
48,GX-0009,108,100,0,8,0
48,GX-0016,108,100,8,0,-
48,GX-0017,108,100,0,8,0
48,GX-0019,108,100,0,8,0
48,GX-0028,108,100,0,8,-
48,GX-0165,108,100,8,-,-
54,GX-0022,105,100,0,0,5
55,GX-0034,104,75,24,-,5
