#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,GZ-0030,230,100,100,0,30
2,GZ-0002,212,100,28,44,40
3,GZ-0010,171,100,40,16,15
4,GZ-0125,166,100,24,12,30
5,GZ-0001,148,100,0,48,-
6,GZ-0131,138,100,20,8,10
6,GZ-0004,138,95,28,0,15
8,GZ-0008,128,100,28,0,-
9,GZ-0132,124,100,24,-,0
9,GZ-0126,124,100,24,0,0
11,GZ-0022,115,95,20,-,0
12,GZ-0006,109,100,4,0,5
13,GZ-0133,108,95,8,0,5
13,GZ-0003,108,100,8,-,-
15,GZ-0128,105,80,20,0,5
16,GZ-0017,104,100,4,0,-
17,GZ-0040,102,90,0,12,-
18,GZ-0005,101,85,0,16,-
19,GZ-0014,100,100,0,0,0
19,GZ-0013,100,100,0,0,0
19,GZ-0105,100,100,0,0,0
19,GZ-0009,100,100,0,-,-
19,GZ-0026,100,100,0,0,0
19,GZ-0130,100,100,0,-,-
19,GZ-0114,100,100,0,0,0
19,GZ-0051,100,100,-,0,-
27,GZ-0012,99,95,4,0,-
27,GZ-0124,99,75,24,-,0
29,GZ-0078,98,90,8,0,0
30,GZ-0042,95,95,0,-,-
31,GZ-0111,94,90,4,-,-
31,GZ-0129,94,70,24,0,0
31,GZ-0018,94,90,4,0,0
34,GZ-0077,93,85,8,0,0
34,GZ-0057,93,85,8,0,0
36,GZ-0046,90,70,20,0,0
36,GZ-0071,90,90,0,-,-
36,GZ-0127,90,90,0,0,-
36,GZ-0031,90,90,0,-,-
36,GZ-0019,90,90,0,0,-
36,GZ-0086,90,90,0,0,0
36,GZ-0081,90,90,0,-,-
43,GZ-0039,89,85,4,-,-
43,GZ-0027,89,85,4,-,-
45,GZ-0016,87,75,0,12,-
46,GZ-0020,85,65,20,0,0
46,GZ-0011,85,85,0,0,-
46,GZ-0073,85,65,20,0,-
46,GZ-0058,85,85,0,0,0
50,GZ-0135,84,80,4,-,-
51,GZ-0084,83,75,8,-,-
51,GZ-0023,83,75,8,-,-
51,GZ-0054,83,75,8,-,0
54,GZ-0048,81,65,16,0,0
55,GZ-0024,80,80,0,0,0
55,GZ-0047,80,80,0,-,-
55,GZ-0118,80,80,0,0,0
55,GZ-0038,80,80,0,0,0
59,GZ-0050,78,70,8,0,-
60,GZ-0085,75,75,0,0,-
60,GZ-0119,75,75,0,-,-
60,GZ-0065,75,75,0,0,0
63,GZ-0049,74,70,4,0,0
63,GZ-0134,74,70,4,0,-
63,GZ-0136,74,70,4,-,-
66,GZ-0096,70,70,0,-,-
66,GZ-0098,70,70,0,0,0
66,GZ-0055,70,70,0,0,0
66,GZ-0097,70,70,0,-,-
66,GZ-0028,70,70,0,0,0
66,GZ-0072,70,70,0,-,-
66,GZ-0043,70,70,0,0,0
66,GZ-0108,70,70,0,0,0
66,GZ-0066,70,70,0,0,0
66,GZ-0056,70,70,-,-,-
66,GZ-0069,70,70,0,0,-
77,GZ-0076,65,65,-,-,-
77,GZ-0102,65,65,-,0,-
77,GZ-0037,65,65,0,-,-
77,GZ-0063,65,65,-,-,-
77,GZ-0088,65,65,-,0,-
77,GZ-0101,65,65,0,0,0
83,GZ-0044,63,55,8,-,-
84,GZ-0025,60,60,0,0,0
84,GZ-0121,60,60,0,-,-
84,GZ-0052,60,60,0,0,0
84,GZ-0094,60,60,-,-,-
88,GZ-0079,55,55,0,0,0
88,GZ-0104,55,55,0,0,0
88,GZ-S0110,55,55,0,0,0
88,GZ-0120,55,55,0,0,0
88,GZ-0099,55,55,0,0,0
88,GZ-0090,55,55,0,0,0
94,GZ-0109,50,50,0,0,-
94,GZ-0113,50,50,0,0,0
94,GZ-0035,50,50,0,0,0
94,GZ-0060,50,50,-,-,-
98,GZ-0059,47,35,0,12,0
98,GZ-0067,47,35,12,-,-
100,GZ-0053,45,45,0,0,-
101,GZ-0103,40,40,0,0,0
101,GZ-0036,40,40,0,-,-
103,GZ-0089,35,35,-,0,-
104,GZ-0029,29,25,4,0,0
105,GZ-0117,25,25,0,0,-
105,GZ-0075,25,25,0,-,-
105,GZ-0107,25,25,0,0,0
105,GZ-0122,25,25,0,-,-
105,GZ-0092,25,25,-,-,-
105,GZ-0032,25,25,0,0,0
111,GZ-0091,20,20,0,-,-
111,GZ-0093,20,20,0,-,-
113,GZ-0083,15,15,0,0,0
113,GZ-0062,15,15,0,-,-
113,GZ-0095,15,15,0,0,0
116,GZ-0100,10,10,0,0,0
116,GZ-0106,10,10,-,0,-
116,GZ-0034,10,5,0,-,5
119,GZ-0015,5,5,0,-,-
119,GZ-0087,5,5,-,0,-
119,GZ-0021,5,5,0,-,0
122,GZ-0041,0,0,0,0,-
122,GZ-0116,0,0,0,0,0
122,GZ-0080,0,-,0,-,-
122,GZ-0112,0,0,0,0,0
122,GZ-0123,0,0,0,0,0
122,GZ-0061,0,0,0,-,-
122,GZ-0033,0,0,-,0,-
