#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,HA-0002,351,100,100,76,75
2,HA-0007,316,100,100,76,40
3,HA-0003,293,100,100,48,45
4,HA-0001,288,100,100,48,40
5,HA-0008,228,95,100,8,25
6,HA-0009,225,95,100,0,30
7,HA-0193,224,100,100,24,0
8,HA-0014,223,100,100,8,15
9,HA-0039,219,95,92,32,-
10,HA-0004,218,95,92,16,15
11,HA-0194,217,90,92,-,35
12,HA-0020,216,100,100,16,-
13,HA-0241,215,100,100,-,15
14,HA-0005,203,100,48,40,15
15,HA-0019,200,100,100,0,0
16,HA-0233,190,85,100,0,5
17,HA-0022,183,95,40,8,40
18,HA-0040,176,100,36,40,-
19,HA-0236,175,100,20,40,15
20,HA-0041,173,100,48,0,25
20,HA-0235,173,95,32,16,30
22,HA-0052,161,100,48,8,5
23,HA-0028,160,100,44,16,0
24,HA-0064,158,100,20,8,30
25,HA-0195,157,100,44,8,5
26,HA-0025,153,100,28,0,25
26,HA-0068,153,100,48,0,5
28,HA-0016,148,100,48,-,0
28,HA-0031,148,95,28,0,25
28,HA-0043,148,100,32,16,-
28,HA-0054,148,100,48,0,-
32,HA-0011,147,100,24,8,15
33,HA-0015,145,100,32,8,5
34,HA-0013,144,95,20,24,5
34,HA-0266,144,100,24,0,20
36,HA-0097,142,90,52,0,0
37,HA-0240,141,100,28,8,5
37,HA-0249,141,100,28,8,5
39,HA-0058,140,100,40,-,-
40,HA-0037,138,100,8,0,30
41,HA-0033,136,100,28,8,0
41,HA-0145,136,100,28,8,0
41,HA-0254,136,95,12,24,5
44,HA-0234,133,100,8,0,25
44,HA-0261,133,100,28,0,5
46,HA-0239,132,100,24,8,0
46,HA-0252,132,100,24,8,0
48,HA-0055,131,95,28,8,0
49,HA-0024,129,85,44,-,-
50,HA-0026,128,95,20,8,5
50,HA-0053,128,100,28,0,-
50,HA-0082,128,100,28,-,-
50,HA-0084,128,100,20,8,0
50,HA-0244,128,100,20,8,0
55,HA-0060,127,90,16,16,5
56,HA-0023,125,100,0,0,25
56,HA-0056,125,100,20,0,5
58,HA-0006,124,100,24,-,-
58,HA-0029,124,100,8,16,-
58,HA-0046,124,100,24,-,0
58,HA-0048,124,100,24,-,-
58,HA-0061,124,100,24,0,0
58,HA-0255,124,100,24,-,0
64,HA-0032,123,95,28,-,0
64,HA-0243,123,100,0,8,15
64,HA-0245,123,95,4,24,0
64,HA-0247,123,95,28,0,-
68,HA-0075,121,100,16,0,5
69,HA-0057,120,75,12,8,25
69,HA-0109,120,100,20,0,-
69,HA-0237,120,100,4,16,0
69,HA-0257,120,95,20,0,5
73,HA-0089,119,95,24,-,-
73,HA-0124,119,95,24,0,0
73,HA-0199,119,95,24,0,0
76,HA-0077,118,90,28,0,-
77,HA-0012,117,80,32,0,5
78,HA-0051,116,100,4,12,0
79,HA-0242,115,95,20,-,-
80,HA-0203,114,90,24,0,0
81,HA-0017,113,100,8,0,5
81,HA-0114,113,85,28,0,0
81,HA-0135,113,100,8,-,5
84,HA-0079,112,100,4,8,0
84,HA-0088,112,100,12,0,0
84,HA-0133,112,80,20,12,-
84,HA-0264,112,80,24,8,0
88,HA-0010,111,95,0,16,-
88,HA-0123,111,95,8,8,0
90,HA-0099,110,90,20,0,0
90,HA-0140,110,90,20,0,0
90,HA-0238,110,90,20,0,0
93,HA-0034,109,85,0,24,-
93,HA-0036,109,85,24,0,-
95,HA-0042,108,100,8,-,0
95,HA-0045,108,100,8,0,0
95,HA-0059,108,100,0,8,-
95,HA-0065,108,100,8,0,0
95,HA-0066,108,100,0,8,-
95,HA-0090,108,100,0,8,-
95,HA-0126,108,100,8,0,-
95,HA-0138,108,80,28,0,-
95,HA-0202,108,100,8,0,-
95,HA-0209,108,100,0,8,-
95,HA-0217,108,100,0,8,0
106,HA-0190,107,95,12,-,-
106,HA-0206,107,75,20,12,0
108,HA-0021,105,100,0,0,5
108,HA-0035,105,85,12,8,0
108,HA-0094,105,85,20,0,0
108,HA-0131,105,100,0,0,5
108,HA-0136,105,100,0,0,5
108,HA-0267,105,85,20,0,0
114,HA-0044,104,100,4,-,0
114,HA-0067,104,100,4,-,-
114,HA-0069,104,80,24,0,-
114,HA-0098,104,100,4,0,0
114,HA-0186,104,100,4,0,-
114,HA-0250,104,100,4,-,0
114,HA-0265,104,100,4,0,0
121,HA-0076,103,95,0,8,0
121,HA-0115,103,90,8,0,5
121,HA-0259,103,70,20,8,5
121,HA-0262,103,95,8,0,0
125,HA-0165,101,85,16,0,0
126,HA-0038,100,100,-,-,-
126,HA-0050,100,100,0,-,-
126,HA-0063,100,100,0,0,-
126,HA-0071,100,100,0,0,0
126,HA-0073,100,100,0,0,-
126,HA-0102,100,100,0,0,-
126,HA-0111,100,100,0,0,-
126,HA-0122,100,100,-,0,-
126,HA-0137,100,70,0,0,30
126,HA-0141,100,100,0,0,-
126,HA-0148,100,100,0,0,-
126,HA-0156,100,100,0,0,-
126,HA-0158,100,100,0,0,0
126,HA-0160,100,100,0,-,-
126,HA-0177,100,100,0,0,0
126,HA-0179,100,100,0,0,0
126,HA-0181,100,100,0,0,-
126,HA-0253,100,80,20,-,-
126,HA-0258,100,100,0,0,0
145,HA-0248,99,95,4,0,0
145,HA-0256,99,75,24,0,0
147,HA-0018,98,90,8,0,0
