#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,HB-0005,351,100,100,76,75
2,HB-0002,321,100,100,76,45
3,HB-0001,296,100,100,56,40
4,HB-0007,288,100,100,48,40
5,HB-0003,280,100,84,56,40
5,HB-0011,280,100,100,40,40
7,HB-0034,271,100,100,56,15
8,HB-0016,261,100,100,16,45
9,HB-0010,248,100,100,48,0
10,HB-0205,240,100,100,40,0
11,HB-0032,235,100,100,0,35
12,HB-0004,232,100,92,40,0
13,HB-0009,225,85,100,40,0
14,HB-0006,221,100,100,16,5
15,HB-0033,218,95,100,8,15
16,HB-0013,211,95,100,16,-
17,HB-0190,205,100,100,0,5
18,HB-0022,204,95,100,4,5
19,HB-0015,196,90,0,76,30
20,HB-0012,195,95,92,8,0
21,HB-0024,192,100,92,-,0
22,HB-0027,183,95,32,16,40
23,HB-0057,175,100,52,8,15
24,HB-0203,165,100,52,8,5
25,HB-0031,164,100,24,0,40
26,HB-0028,162,100,32,0,30
27,HB-0194,160,100,52,8,-
27,HB-0220,160,95,28,32,5
29,HB-0068,157,100,28,24,5
30,HB-0017,155,85,24,16,30
30,HB-0030,155,100,24,16,15
32,HB-0043,154,100,8,36,10
32,HB-0066,154,100,24,0,30
34,HB-0036,150,95,20,0,35
35,HB-0038,145,100,24,16,5
35,HB-0089,145,100,40,0,5
37,HB-0202,144,100,20,24,0
38,HB-0191,142,100,32,-,10
38,HB-0198,142,100,24,8,10
40,HB-0026,141,100,20,16,5
41,HB-0018,140,100,0,40,0
42,HB-0199,139,90,44,-,5
43,HB-0023,137,100,32,0,5
43,HB-0051,137,100,32,0,5
43,HB-0072,137,100,28,4,5
46,HB-0065,136,95,28,8,5
46,HB-0192,136,100,8,8,20
48,HB-0073,135,95,32,8,0
48,HB-0110,135,100,20,0,15
50,HB-0050,133,100,28,0,5
50,HB-0081,133,100,28,0,5
50,HB-0193,133,90,28,0,15
53,HB-0090,132,95,24,8,5
54,HB-0037,131,90,36,0,5
54,HB-0208,131,95,24,12,0
54,HB-0209,131,95,20,16,0
57,HB-0058,129,100,24,0,5
58,HB-0008,128,100,4,24,-
58,HB-0056,128,95,20,8,5
60,HB-0019,127,100,12,0,15
60,HB-0020,127,95,24,8,0
60,HB-0063,127,95,32,0,0
60,HB-0069,127,95,32,0,0
60,HB-0212,127,95,32,0,0
65,HB-0085,125,100,8,12,5
65,HB-0196,125,100,0,0,25
65,HB-0214,125,100,20,-,5
68,HB-0059,124,100,24,0,0
68,HB-0088,124,100,24,0,0
68,HB-0120,124,100,-,24,-
68,HB-0201,124,85,24,0,15
72,HB-0014,120,100,4,16,0
72,HB-0077,120,95,20,0,5
72,HB-0083,120,80,24,16,0
72,HB-0221,120,100,20,0,0
76,HB-0206,119,95,24,-,-
76,HB-0213,119,95,24,0,0
78,HB-0045,118,90,20,8,0
78,HB-0195,118,90,28,-,0
80,HB-0086,116,90,16,0,10
81,HB-0021,115,95,20,0,0
81,HB-0087,115,95,20,0,0
81,HB-0176,115,90,20,0,5
81,HB-0225,115,95,20,0,0
85,HB-0048,114,100,4,0,10
86,HB-0096,113,100,8,0,5
87,HB-0094,110,90,20,0,-
87,HB-0216,110,70,24,16,-
89,HB-0052,109,85,0,24,0
89,HB-0060,109,80,24,0,5
89,HB-0074,109,80,24,0,5
89,HB-0092,109,100,4,0,5
89,HB-0155,109,85,0,24,-
94,HB-0025,108,100,4,4,0
94,HB-0035,108,100,8,0,0
94,HB-0039,108,100,8,-,-
94,HB-0053,108,95,0,8,5
94,HB-0062,108,95,8,0,5
94,HB-0084,108,100,8,0,0
94,HB-0100,108,100,8,-,-
94,HB-0118,108,100,8,0,0
94,HB-0200,108,100,8,0,0
94,HB-0204,108,70,28,0,10
94,HB-0224,108,100,0,8,0
105,HB-0055,107,70,28,4,5
105,HB-0064,107,90,12,0,5
107,HB-0046,105,100,0,0,5
107,HB-0091,105,100,0,0,5
107,HB-0106,105,85,20,0,0
110,HB-0117,104,100,4,-,0
111,HB-0029,103,95,8,0,0
111,HB-0114,103,95,8,0,0
111,HB-0197,103,95,0,8,0
114,HB-0222,102,90,0,12,0
115,HB-0215,101,85,8,8,0
116,HB-0040,100,100,0,0,0
116,HB-0042,100,100,0,0,0
116,HB-0044,100,95,0,0,5
116,HB-0061,100,100,0,0,0
116,HB-0097,100,100,0,-,-
116,HB-0125,100,100,0,0,0
