#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,HE-0008,375,100,100,100,75
2,HE-0010,296,100,100,56,40
3,HE-0003,278,100,100,48,30
4,HE-0016,263,100,92,16,55
5,HE-0006,251,100,92,44,15
6,HE-0038,248,100,100,8,40
7,HE-0001,240,100,-,40,100
7,HE-0009,240,100,100,0,40
7,HE-0035,240,100,100,40,0
10,HE-0047,232,95,92,40,5
11,HE-0023,220,95,92,8,25
12,HE-0031,202,85,48,24,45
13,HE-0018,181,85,92,4,0
14,HE-0078,177,100,24,48,5
15,HE-0002,176,95,0,56,25
15,HE-0021,176,100,68,8,0
17,HE-0027,170,100,40,0,30
18,HE-0067,167,100,52,0,15
19,HE-0022,165,100,52,8,5
20,HE-0063,163,100,48,0,15
21,HE-0020,162,100,32,0,30
22,HE-0013,161,95,48,8,10
22,HE-0041,161,100,48,8,5
24,HE-0030,157,100,52,0,5
25,HE-0017,151,95,28,8,20
26,HE-0057,148,100,48,-,0
27,HE-0014,147,95,20,32,0
28,HE-0015,145,100,24,16,5
29,HE-0007,144,95,28,16,5
30,HE-0055,142,100,12,0,30
31,HE-0062,140,100,24,16,0
32,HE-0132,139,100,20,4,15
33,HE-0019,138,100,16,12,10
33,HE-0029,138,95,20,8,15
35,HE-0024,136,100,20,16,0
35,HE-0042,136,100,28,8,0
35,HE-0058,136,100,36,-,-
38,HE-0053,135,95,32,8,0
38,HE-0230,135,95,28,12,0
38,HE-0254,135,95,28,12,-
41,HE-0012,134,100,24,0,10
41,HE-0043,134,100,4,0,30
43,HE-0066,133,100,28,0,5
44,HE-0145,132,95,8,24,5
45,HE-0026,129,85,4,0,40
45,HE-0033,129,100,24,0,5
47,HE-0032,128,100,20,8,0
47,HE-0064,128,100,28,0,0
47,HE-0093,128,100,4,24,-
47,HE-0107,128,100,28,0,0
47,HE-0113,128,100,28,0,0
47,HE-0143,128,100,20,8,0
47,HE-0248,128,100,4,24,0
47,HE-0252,128,100,28,0,0
55,HE-0068,127,95,32,0,0
56,HE-0091,125,100,20,0,5
56,HE-0231,125,100,20,0,5
58,HE-0037,124,100,0,24,-
58,HE-0044,124,100,24,-,-
58,HE-0050,124,100,24,0,-
58,HE-0076,124,100,24,0,0
58,HE-0079,124,100,0,24,-
63,HE-0111,123,95,20,8,0
64,HE-0227,121,100,8,8,5
65,HE-0004,120,100,0,0,20
65,HE-0054,120,100,20,0,0
65,HE-0056,120,95,0,0,25
65,HE-0072,120,100,20,0,-
65,HE-0112,120,100,20,0,0
65,HE-0148,120,100,20,-,-
65,HE-0226,120,100,20,0,0
65,HE-0234,120,100,20,0,0
65,HE-0246,120,100,20,0,0
74,HE-0051,119,95,24,-,-
75,HE-0257,117,85,24,8,-
76,HE-0052,116,100,16,0,0
77,HE-0025,115,95,20,0,0
77,HE-0049,115,95,20,0,-
79,HE-0080,114,85,24,-,5
80,HE-0028,113,100,8,0,5
80,HE-0048,113,100,8,0,5
80,HE-0060,113,80,28,0,5
83,HE-0094,112,100,4,8,-
83,HE-0105,112,100,8,4,-
83,HE-0241,112,90,12,0,10
86,HE-0121,111,90,4,12,5
87,HE-0073,110,90,20,0,0
87,HE-0176,110,90,20,-,-
87,HE-0186,110,90,20,0,-
90,HE-0084,109,100,4,0,5
90,HE-0110,109,100,4,0,5
92,HE-0120,108,100,8,-,-
92,HE-0153,108,100,0,8,-
92,HE-0208,108,100,8,0,0
92,HE-0229,108,100,0,8,0
92,HE-0242,108,100,8,0,0
97,HE-0034,107,95,-,12,-
97,HE-0039,107,95,4,8,0
97,HE-0098,107,95,12,0,0
97,HE-0119,107,95,12,0,0
101,HE-0114,106,90,12,4,0
102,HE-0046,104,100,4,0,0
102,HE-0109,104,100,4,0,-
102,HE-0154,104,100,4,0,0
102,HE-0182,104,100,4,0,0
106,HE-0074,103,90,8,0,5
107,HE-0011,100,100,0,0,-
107,HE-0040,100,100,0,0,0
107,HE-0085,100,100,0,0,0
107,HE-0097,100,100,0,-,-
107,HE-0099,100,100,0,0,0
107,HE-0102,100,100,0,0,0
107,HE-0126,100,100,0,0,0
107,HE-0128,100,100,0,0,0
107,HE-0152,100,100,0,0,0
107,HE-0165,100,100,0,0,0
107,HE-0185,100,100,0,0,-
107,HE-0219,100,100,0,-,-
107,HE-0220,100,100,0,0,0
107,HE-0228,100,100,0,0,-
107,HE-0232,100,100,0,0,0
107,HE-0236,100,100,0,0,0
107,HE-0244,100,100,0,0,0
107,HE-0250,100,95,0,-,5
125,HE-0172,99,90,4,0,5
125,HE-0181,99,95,4,0,0
125,HE-0249,99,90,4,0,5
128,HE-0069,98,70,28,-,-
128,HE-0075,98,90,8,0,0
128,HE-0133,98,90,8,0,-
128,HE-0239,98,90,8,-,-
128,HE-0247,98,90,8,0,0
128,HE-0258,98,85,0,8,5
134,HE-0059,95,90,0,0,5
134,HE-0061,95,95,0,0,0
134,HE-0065,95,95,0,0,-
134,HE-0071,95,95,0,0,0
134,HE-0092,95,90,0,0,5
134,HE-0096,95,95,-,0,-
134,HE-0136,95,70,20,0,5
134,HE-0159,95,95,0,-,0
134,HE-0162,95,95,0,0,0
134,HE-0221,95,95,0,0,0
144,HE-0070,94,90,4,0,-
144,HE-0187,94,90,4,0,0
146,HE-0203,93,85,8,-,-
147,HE-0036,90,85,0,0,5
147,HE-0083,90,85,0,0,5
147,HE-0087,90,90,0,0,0
147,HE-0090,90,90,0,0,0
147,HE-0095,90,90,0,0,0
147,HE-0101,90,90,0,0,0
147,HE-0127,90,90,0,0,0
147,HE-0149,90,90,0,0,-
147,HE-0191,90,90,0,0,0
156,HE-0100,88,80,8,0,0
157,HE-0081,85,85,0,0,-
157,HE-0108,85,85,0,-,-
157,HE-0124,85,85,0,0,0
157,HE-0130,85,60,20,0,5
157,HE-0142,85,65,20,0,0
157,HE-0166,85,85,0,0,0
157,HE-0171,85,85,0,0,-
157,HE-0180,85,85,0,0,-
157,HE-0209,85,65,20,0,-
157,HE-0245,85,85,0,-,-
157,HE-0259,85,85,0,0,-
168,HE-0161,84,80,4,-,0
169,HE-0146,83,75,8,0,-
170,HE-0233,82,70,12,0,0
171,HE-0138,80,75,0,0,5
171,HE-0144,80,70,0,0,10
171,HE-0170,80,80,0,0,-
171,HE-0202,80,80,0,0,-
171,HE-0207,80,80,0,0,0
