#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,HI-0001,200,100,100,0,0
2,HI-0002,184,95,84,0,5
3,HI-0072,164,95,24,-,45
4,HI-0004,162,100,32,0,30
5,HI-0074,149,100,44,0,5
6,HI-0007,147,100,32,0,15
7,HI-0071,144,100,32,12,0
8,HI-0008,140,100,20,-,20
9,HI-0009,132,100,24,8,-
10,HI-0011,125,100,20,0,5
11,HI-0006,120,100,20,0,0
12,HI-0076,119,75,44,0,0
13,HI-0010,115,95,20,0,-
13,HI-0078,115,90,20,-,5
15,HI-0014,112,100,4,8,0
16,HI-0005,108,100,8,0,0
17,HI-0073,102,90,0,12,0
18,HI-0003,100,100,0,-,0
18,HI-0017,100,100,0,0,0
18,HI-0019,100,100,0,-,-
18,HI-0021,100,100,0,0,0
18,HI-0022,100,100,0,0,0
18,HI-0070,100,80,20,0,0
24,HI-0040,99,95,4,0,0
25,HI-0030,97,85,12,0,0
26,HI-0036,95,95,0,0,0
27,HI-0029,94,85,4,0,5
27,HI-0046,94,90,4,-,-
29,HI-0075,90,90,0,0,0
29,HI-0079,90,90,0,0,0
31,HI-0028,88,80,8,-,0
32,HI-0026,85,85,0,0,0
32,HI-0055,85,85,0,0,0
32,HI-0063,85,85,0,-,-
32,HI-0068,85,85,0,-,-
36,HI-0027,82,70,4,8,0
37,HI-0020,80,80,0,-,-
37,HI-0023,80,80,0,-,-
37,HI-0042,80,80,0,0,0
40,HI-0012,78,70,8,0,0
41,HI-0018,75,75,0,0,-
41,HI-0025,75,75,0,-,-
41,HI-0069,75,75,0,0,0
44,HI-0057,70,70,0,0,0
44,HI-0058,70,70,-,-,-
44,HI-0060,70,70,0,0,0
47,HI-0080,68,60,8,0,-
48,HI-0013,65,65,-,-,-
48,HI-0015,65,65,0,0,0
48,HI-0032,65,65,0,0,0
48,HI-0037,65,65,-,-,-
52,HI-0016,60,60,-,0,-
52,HI-0066,60,60,0,0,0
54,HI-0034,56,40,16,0,0
55,HI-0039,55,55,0,0,-
55,HI-0061,55,55,0,0,0
57,HI-0047,50,50,0,-,-
58,HI-0067,49,45,4,0,0
59,HI-0041,45,45,0,0,0
60,HI-0038,30,30,0,-,-
60,HI-0043,30,30,0,0,0
60,HI-0056,30,30,0,0,0
63,HI-0024,29,25,4,-,-
64,HI-0062,25,25,0,0,-
65,HI-0065,20,20,0,0,0
66,HI-0031,15,15,0,0,0
66,HI-0049,15,15,0,0,0
68,HI-0051,10,10,0,-,-
69,HI-0033,4,0,4,0,0
70,HI-0035,0,-,0,0,0
70,HI-0044,0,0,0,0,0
70,HI-0052,0,0,0,0,0
70,HI-0054,0,0,0,0,0
70,HI-0064,0,0,0,0,0
