#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,HL-0002,296,100,100,56,40
2,HL-0108,256,100,100,16,40
3,HL-0001,216,90,20,56,50
4,HL-0008,205,100,100,0,5
5,HL-0110,192,100,92,0,0
6,HL-0005,183,95,52,16,20
7,HL-0113,156,100,48,8,0
8,HL-0112,136,100,12,24,-
9,HL-0124,133,100,28,0,5
10,HL-0015,132,95,24,8,5
11,HL-0011,129,100,0,24,5
12,HL-0004,128,100,28,0,0
12,HL-0009,128,95,28,0,5
12,HL-0014,128,95,28,0,5
15,HL-0034,124,100,24,0,-
15,HL-0058,124,100,24,0,0
15,HL-0126,124,100,12,12,0
18,HL-0006,123,95,28,0,0
19,HL-0012,122,90,32,0,0
19,HL-0119,122,90,24,8,0
21,HL-0025,120,100,20,0,-
21,HL-0028,120,100,20,0,0
23,HL-0116,119,95,24,0,0
24,HL-0109,115,90,12,8,5
24,HL-0111,115,90,20,0,5
26,HL-0003,113,100,8,0,5
26,HL-0035,113,100,8,0,5
28,HL-0020,111,95,0,16,0
29,HL-0118,110,90,20,-,-
30,HL-0121,109,80,24,-,5
31,HL-0042,108,100,8,-,-
31,HL-0043,108,100,8,0,0
31,HL-0097,108,100,8,-,-
31,HL-0123,108,100,8,0,-
35,HL-0027,106,90,16,-,-
36,HL-0010,105,100,-,-,5
36,HL-0013,105,100,0,0,5
36,HL-0033,105,80,20,0,5
36,HL-0114,105,85,20,-,0
36,HL-0115,105,100,0,-,5
41,HL-0045,103,95,8,0,0
42,HL-0007,100,100,0,-,-
42,HL-0036,100,100,0,0,0
42,HL-0091,100,100,0,0,0
45,HL-0021,98,90,8,0,-
46,HL-0023,95,95,-,0,-
46,HL-0094,95,95,0,-,-
48,HL-0022,94,90,4,0,0
49,HL-0052,93,85,8,0,0
50,HL-0016,90,90,0,0,-
50,HL-0038,90,90,0,0,0
50,HL-0065,90,90,0,-,-
50,HL-0099,90,90,0,0,0
50,HL-0120,90,90,0,0,0
50,HL-0127,90,70,20,0,0
56,HL-0017,89,65,24,0,0
57,HL-0024,85,85,0,0,0
57,HL-0026,85,85,0,0,-
57,HL-0051,85,85,0,0,0
57,HL-0053,85,85,0,0,-
57,HL-0068,85,85,0,0,0
57,HL-0085,85,85,-,-,-
57,HL-0100,85,85,0,0,-
57,HL-0125,85,85,0,0,0
65,HL-0047,83,75,0,8,0
66,HL-0089,82,70,12,0,0
67,HL-0050,80,80,0,0,-
68,HL-0084,78,70,8,-,-
69,HL-0128,75,70,0,0,5
70,HL-0066,74,70,4,-,-
71,HL-0018,70,70,0,0,-
71,HL-0037,70,70,0,0,0
71,HL-0049,70,70,0,-,-
71,HL-0069,70,70,0,0,0
71,HL-0083,70,70,0,0,-
76,HL-0060,69,65,4,0,0
77,HL-0046,68,60,8,0,0
77,HL-0086,68,60,8,0,0
79,HL-0032,65,65,0,0,-
79,HL-0055,65,65,0,0,0
79,HL-0063,65,65,0,0,0
79,HL-0122,65,65,0,-,0
83,HL-0078,64,60,4,0,0
84,HL-0079,60,60,-,-,-
84,HL-0087,60,60,0,-,-
84,HL-0105,60,60,-,0,-
87,HL-0031,57,0,52,0,5
88,HL-0117,55,55,-,0,0
89,HL-0048,53,45,0,8,-
90,HL-0093,50,50,0,0,0
90,HL-0098,50,50,0,0,0
90,HL-0107,50,50,0,-,-
93,HL-0019,44,40,4,0,0
94,HL-0039,35,35,0,0,0
94,HL-0088,35,35,0,0,0
96,HL-0062,31,15,16,0,0
97,HL-0070,30,30,0,0,0
98,HL-0057,25,25,0,0,0
98,HL-0082,25,25,0,0,0
100,HL-0061,24,20,4,0,0
101,HL-0029,20,20,0,0,0
101,HL-0064,20,20,0,0,0
101,HL-0073,20,20,0,-,0
101,HL-0080,20,20,0,0,0
101,HL-0090,20,20,0,0,0
106,HL-0074,15,15,0,0,0
106,HL-0075,15,15,0,0,0
106,HL-0076,15,15,0,0,0
109,HL-0081,10,10,0,0,0
109,HL-0101,10,10,0,0,-
111,HL-0096,5,5,0,0,0
112,HL-0077,4,0,0,4,-
113,HL-0044,0,0,-,0,-
113,HL-0059,0,0,0,0,0
113,HL-0067,0,0,0,0,0
113,HL-0071,0,0,0,-,-
113,HL-0072,0,0,-,0,-
113,HL-0095,0,0,0,0,-
113,HL-0102,0,0,0,0,0
113,HL-0103,0,0,0,0,0
113,HL-0104,0,0,0,0,0
113,HL-0106,0,0,0,0,0
