#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,HN-0305,375,100,100,100,75
2,HN-0011,366,100,100,76,90
3,HN-0003,340,100,100,100,40
4,HN-0022,323,100,100,48,75
5,HN-0006,321,95,100,56,70
6,HN-0025,316,95,100,56,65
7,HN-0005,313,100,100,48,65
8,HN-0001,306,100,100,76,30
9,HN-0009,301,100,96,40,65
9,HN-0310,301,100,100,56,45
11,HN-0306,297,100,100,52,45
12,HN-0010,293,100,100,48,45
13,HN-0318,288,100,100,48,40
14,HN-0015,280,95,100,40,45
15,HN-0004,278,100,100,48,30
16,HN-0002,276,100,100,76,-
16,HN-0017,276,95,100,56,25
18,HN-0316,275,95,100,40,40
19,HN-0012,270,100,100,40,30
19,HN-0084,270,100,100,40,30
19,HN-0090,270,100,100,0,70
22,HN-0027,260,95,100,40,25
23,HN-0315,255,100,100,40,15
24,HN-0055,251,100,92,24,35
25,HN-0058,244,100,100,4,40
26,HN-0056,243,95,100,48,0
27,HN-0020,242,95,100,32,15
28,HN-0021,238,100,100,8,30
28,HN-0041,238,100,100,8,30
30,HN-0043,236,100,96,0,40
31,HN-0008,232,95,92,40,5
32,HN-0081,228,85,100,8,35
33,HN-0038,225,100,100,0,25
34,HN-0059,223,100,100,8,15
35,HN-0007,220,100,100,-,20
36,HN-0065,219,100,68,16,35
37,HN-0060,218,95,100,8,15
38,HN-0013,217,100,44,48,25
39,HN-0034,215,100,100,0,15
39,HN-0476,215,100,100,0,15
41,HN-0313,212,100,84,8,20
42,HN-0019,208,100,100,8,-
42,HN-0105,208,100,100,8,0
44,HN-0067,205,85,44,76,0
44,HN-0459,205,100,100,-,5
46,HN-0307,203,95,92,16,0
47,HN-0023,200,100,100,0,-
47,HN-0057,200,100,100,0,-
47,HN-0066,200,100,100,-,0
47,HN-0076,200,100,100,0,0
47,HN-0344,200,100,92,8,0
47,HN-0364,200,100,100,0,-
53,HN-0320,195,100,44,16,35
54,HN-0328,191,100,28,48,15
54,HN-0368,191,95,40,16,40
56,HN-0052,189,100,36,8,45
57,HN-0037,188,100,80,8,0
58,HN-0047,187,100,64,8,15
59,HN-0334,185,100,28,32,25
60,HN-0049,184,100,28,16,40
60,HN-0332,184,100,24,40,20
62,HN-0474,183,100,68,-,15
63,HN-0024,180,100,32,8,40
64,HN-0048,179,100,52,12,15
64,HN-0097,179,100,4,40,35
66,HN-0079,176,100,28,48,0
66,HN-0322,176,75,28,48,25
68,HN-0170,174,95,20,24,35
69,HN-0333,172,100,24,8,40
69,HN-0376,172,100,64,8,0
71,HN-0438,170,95,52,8,15
72,HN-0386,169,100,4,0,65
73,HN-0319,168,100,28,0,40
73,HN-0404,168,100,52,16,0
75,HN-0032,166,95,28,8,35
75,HN-0141,166,100,48,8,10
77,HN-0044,165,100,52,8,5
77,HN-0456,165,100,52,8,5
79,HN-0323,161,100,48,8,5
79,HN-0351,161,100,48,8,5
81,HN-0111,160,100,52,8,-
81,HN-0314,160,95,52,8,5
83,HN-0028,159,100,4,40,15
84,HN-0031,158,100,20,8,30
84,HN-0127,158,90,48,20,-
84,HN-0382,158,95,28,0,35
87,HN-0385,156,100,20,36,0
87,HN-0418,156,100,48,8,0
89,HN-0339,155,100,32,8,15
89,HN-0388,155,95,60,0,0
89,HN-0405,155,95,52,8,-
92,HN-0045,154,100,24,0,30
92,HN-0064,154,100,24,0,30
94,HN-0078,152,100,52,0,0
94,HN-0365,152,95,24,8,25
94,HN-0421,152,95,32,0,25
97,HN-0014,149,100,20,24,5
97,HN-0039,149,100,24,-,25
97,HN-0378,149,100,28,16,5
97,HN-0428,149,100,24,0,25
97,HN-0473,149,100,44,0,5
102,HN-0018,148,100,0,48,-
102,HN-0115,148,95,28,0,25
102,HN-0347,148,100,8,0,40
105,HN-0073,147,90,44,8,5
105,HN-0083,147,95,52,0,-
107,HN-0337,146,100,28,8,10
108,HN-0096,145,100,20,0,25
109,HN-0074,144,100,44,0,0
109,HN-0466,144,95,24,-,25
109,HN-0475,144,100,28,16,0
112,HN-0363,143,95,40,8,0
112,HN-0366,143,100,20,8,15
112,HN-0380,143,100,8,-,35
112,HN-0397,143,95,40,8,-
112,HN-0423,143,95,8,0,40
112,HN-0436,143,100,20,8,15
118,HN-0071,142,100,12,0,30
119,HN-0029,140,100,0,40,-
119,HN-0123,140,100,40,0,-
119,HN-0130,140,100,0,40,-
119,HN-0324,140,100,32,8,0
119,HN-0387,140,100,24,16,-
119,HN-0464,140,100,24,16,0
125,HN-0053,139,100,24,0,15
125,HN-0086,139,95,28,16,-
125,HN-0108,139,95,32,12,0
125,HN-0342,139,100,24,0,15
125,HN-0391,139,100,0,24,15
125,HN-0439,139,100,24,0,15
131,HN-0377,138,100,28,0,10
132,HN-0100,137,85,12,0,40
132,HN-0134,137,100,32,0,5
134,HN-0093,136,100,0,36,-
134,HN-0331,136,100,24,12,0
134,HN-0375,136,95,28,8,5
134,HN-0446,136,95,28,8,5
138,HN-0030,133,100,28,0,5
138,HN-0095,133,100,28,0,5
138,HN-0392,133,100,28,0,5
138,HN-0395,133,100,20,8,5
142,HN-0091,132,100,16,16,0
142,HN-0120,132,95,24,8,5
142,HN-0335,132,100,24,8,-
142,HN-0340,132,100,24,8,0
142,HN-0348,132,100,24,8,0
147,HN-0098,131,100,8,8,15
147,HN-0327,131,100,8,8,15
149,HN-0137,130,100,0,0,30
149,HN-0145,130,90,40,-,0
149,HN-0325,130,100,0,0,30
152,HN-0085,129,100,24,0,5
