#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,JL-0019,315,100,100,40,75
2,JL-0001,218,90,72,16,40
3,JL-0010,200,100,100,-,-
4,JL-0100,190,95,64,16,15
5,JL-0004,178,100,28,40,10
6,JL-0007,165,95,32,8,30
7,JL-0096,156,100,8,48,-
7,JL-0097,156,100,56,0,-
9,JL-0002,149,100,24,0,25
10,JL-0021,148,100,28,0,20
10,JL-0098,148,100,0,8,40
12,JL-0101,144,100,28,16,0
13,JL-0012,140,100,32,8,0
14,JL-0034,136,100,28,8,0
15,JL-0009,135,90,32,8,5
15,JL-0108,135,95,32,8,-
15,JL-0109,135,95,32,8,0
18,JL-0014,133,100,20,8,5
18,JL-0033,133,100,24,4,5
20,JL-0116,132,100,32,-,0
21,JL-0022,129,100,24,-,5
21,JL-0104,129,100,24,-,5
21,JL-0107,129,100,24,0,5
24,JL-0038,128,100,28,-,-
24,JL-0099,128,95,8,-,25
26,JL-0003,125,85,28,12,0
27,JL-0023,124,95,24,0,5
28,JL-0008,120,100,20,0,0
29,JL-0016,118,90,20,8,-
29,JL-0103,118,100,8,-,10
31,JL-0027,115,95,20,0,0
31,JL-0118,115,90,20,0,5
33,JL-0017,114,90,-,24,-
34,JL-0005,111,95,16,-,-
35,JL-0013,108,100,8,0,0
35,JL-0015,108,100,8,0,-
37,JL-0024,107,95,0,12,0
38,JL-0006,105,100,0,0,5
38,JL-0112,105,85,20,0,0
40,JL-0105,103,95,8,0,-
40,JL-0106,103,95,8,0,0
40,JL-0111,103,95,8,0,0
40,JL-0114,103,75,28,-,0
44,JL-0020,100,95,0,0,5
44,JL-0028,100,100,0,-,-
44,JL-0048,100,100,0,0,0
44,JL-0102,100,100,0,0,0
48,JL-0011,99,70,24,0,5
49,JL-0040,95,90,0,0,5
49,JL-0051,95,95,0,-,-
49,JL-0072,95,95,0,0,0
52,JL-0018,94,90,4,0,-
53,JL-0053,93,85,8,-,-
54,JL-0037,90,90,0,0,-
54,JL-0119,90,70,20,-,-
56,JL-0050,89,85,4,0,0
57,JL-0025,88,60,28,0,-
58,JL-0036,85,85,0,-,-
58,JL-0052,85,85,0,-,-
58,JL-0071,85,85,0,-,-
58,JL-0093,85,85,0,0,0
58,JL-0113,85,65,20,-,0
63,JL-0045,82,70,12,0,0
64,JL-0047,80,80,0,0,0
64,JL-0075,80,80,0,-,-
64,JL-0090,80,80,0,-,-
64,JL-0115,80,80,0,0,0
68,JL-0110,78,70,8,0,0
69,JL-0035,75,75,0,-,-
69,JL-0059,75,75,0,-,-
69,JL-0077,75,75,0,-,-
69,JL-0083,75,75,0,0,-
73,JL-0026,70,70,-,-,-
73,JL-0039,70,70,0,0,0
73,JL-0044,70,70,0,0,-
73,JL-0081,70,70,0,-,-
73,JL-0092,70,70,-,-,-
78,JL-0029,65,65,0,-,-
78,JL-0046,65,65,0,-,-
78,JL-0067,65,65,0,0,0
81,JL-0042,60,60,0,0,-
81,JL-0056,60,60,0,0,0
81,JL-0064,60,60,0,0,0
81,JL-0079,60,60,0,-,-
81,JL-0120,60,60,0,-,0
86,JL-0084,58,50,8,-,0
87,JL-0054,55,55,0,0,0
87,JL-0088,55,55,0,0,0
89,JL-0057,50,50,0,0,0
89,JL-0061,50,50,0,0,0
89,JL-0073,50,50,0,-,-
89,JL-0080,50,50,0,-,-
89,JL-0091,50,50,0,-,-
94,JL-0031,40,40,0,0,0
95,JL-0082,38,30,8,0,0
96,JL-0041,35,35,0,-,-
97,JL-0078,25,25,0,0,-
98,JL-0032,20,20,0,-,0
98,JL-0068,20,20,0,0,0
100,JL-0062,15,15,-,-,-
101,JL-0060,5,5,0,0,-
102,JL-0049,0,0,-,-,-
102,JL-0055,0,0,0,0,0
102,JL-0069,0,0,-,-,-
102,JL-0070,0,0,0,0,0
102,JL-0074,0,0,0,0,0
102,JL-0086,0,0,0,0,0
102,JL-0087,0,0,0,0,0
102,JL-0117,0,0,0,-,-
