#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,JS-0551,400,100,100,100,100
2,JS-0015,396,100,96,100,100
3,JS-0027,376,100,100,76,100
4,JS-0017,372,100,92,100,80
5,JS-0008,356,100,100,76,80
6,JS-0002,337,100,92,100,45
7,JS-0013,336,100,100,56,80
8,JS-0029,311,100,100,76,35
9,JS-0570,310,100,100,40,70
10,JS-0025,308,100,92,76,40
11,JS-0014,301,100,100,76,25
11,JS-0026,301,85,100,56,60
13,JS-0021,300,100,92,68,40
13,JS-0553,300,100,100,60,40
15,JS-0028,296,100,100,56,40
15,JS-0573,296,100,100,56,40
17,JS-0019,294,90,96,8,100
18,JS-0023,290,90,100,100,0
19,JS-0006,288,100,100,48,40
19,JS-0018,288,100,100,48,40
19,JS-0024,288,100,100,48,40
19,JS-0576,288,100,100,48,40
23,JS-0003,287,100,92,60,35
24,JS-0552,281,100,100,76,5
25,JS-0580,280,100,100,40,40
26,JS-0001,278,100,100,48,30
27,JS-0004,268,100,8,60,100
28,JS-0030,266,95,100,56,15
29,JS-0010,265,100,92,8,65
29,JS-0020,265,100,92,8,65
31,JS-0094,263,100,100,48,15
31,JS-0599,263,100,100,48,15
33,JS-0052,258,95,100,48,15
33,JS-0085,258,95,100,48,15
35,JS-0016,256,100,76,40,40
36,JS-0032,254,95,96,48,15
37,JS-0572,253,100,100,48,5
37,JS-0614,253,100,100,8,45
39,JS-0393,248,100,100,8,40
39,JS-0583,248,100,100,8,40
41,JS-0076,240,100,100,40,-
41,JS-0575,240,100,100,0,40
43,JS-0072,236,100,68,48,20
44,JS-0009,232,100,100,32,-
45,JS-0005,225,100,100,0,25
46,JS-0554,224,100,100,24,0
47,JS-0051,222,100,92,0,30
48,JS-0031,221,100,28,48,45
48,JS-0133,221,100,92,24,5
50,JS-0181,216,100,100,16,0
50,JS-0681,216,100,76,0,40
52,JS-0295,215,100,100,-,15
53,JS-0581,211,95,92,24,-
54,JS-0571,210,95,16,24,75
