#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,JX-0008,264,100,100,24,40
2,JX-0013,261,100,100,16,45
3,JX-0001,253,100,100,48,5
4,JX-0003,246,90,100,16,40
5,JX-0024,245,100,100,0,45
6,JX-0002,235,95,100,0,40
7,JX-0033,233,85,100,8,40
8,JX-0020,221,100,48,48,25
9,JX-0041,216,100,100,16,0
10,JX-0018,200,100,100,-,0
10,JX-0133,200,100,92,8,-
12,JX-0005,191,100,68,8,15
13,JX-0010,182,100,12,40,30
14,JX-0043,170,100,52,8,10
15,JX-0009,165,100,32,8,25
16,JX-0036,159,100,28,16,15
17,JX-0139,155,95,52,8,0
18,JX-0004,151,90,28,8,25
19,JX-0044,150,90,52,8,0
20,JX-0016,149,100,28,16,5
21,JX-0132,144,100,44,-,-
22,JX-0034,142,100,24,8,10
23,JX-0015,141,100,28,8,5
24,JX-0007,137,100,32,0,5
24,JX-0011,137,100,32,0,5
24,JX-0156,137,100,32,0,5
27,JX-0026,136,100,24,12,0
27,JX-0035,136,100,28,8,-
27,JX-0037,136,95,28,8,5
27,JX-0081,136,100,20,16,0
31,JX-0140,135,95,32,8,0
32,JX-0052,132,100,8,24,0
32,JX-0058,132,95,28,4,5
32,JX-0134,132,100,24,8,0
35,JX-0042,131,70,28,8,25
35,JX-0051,131,95,28,8,0
37,JX-0025,130,95,20,-,15
38,JX-0157,129,100,24,0,5
39,JX-0006,128,100,28,-,0
39,JX-0038,128,95,20,8,5
41,JX-0062,127,90,20,12,5
41,JX-0138,127,90,32,0,5
43,JX-0083,124,100,12,12,0
43,JX-0135,124,95,24,0,5
43,JX-0153,124,100,24,0,0
46,JX-0012,120,100,20,0,0
46,JX-0047,120,100,20,-,-
46,JX-0053,120,100,20,-,-
46,JX-0077,120,100,20,0,0
46,JX-0095,120,100,20,-,-
46,JX-0150,120,100,20,0,0
52,JX-0056,119,90,24,0,5
52,JX-0076,119,95,24,0,0
54,JX-0040,117,80,32,0,5
55,JX-0032,116,100,0,16,-
55,JX-0143,116,100,8,8,0
57,JX-0028,115,95,8,12,0
57,JX-0039,115,100,0,0,15
59,JX-0125,114,90,0,24,-
59,JX-0151,114,90,24,0,-
61,JX-0031,113,100,8,0,5
61,JX-0131,113,85,28,-,-
63,JX-0022,112,100,12,0,-
63,JX-0100,112,100,12,0,-
65,JX-0065,111,95,16,0,-
66,JX-0064,110,95,-,-,15
66,JX-0067,110,90,20,0,0
68,JX-0046,109,100,4,0,5
69,JX-0045,108,100,8,0,0
69,JX-0136,108,100,0,8,-
71,JX-0049,104,100,4,0,0
71,JX-0082,104,100,0,4,0
71,JX-0098,104,100,4,0,0
71,JX-0103,104,100,4,0,-
71,JX-0110,104,100,4,-,-
76,JX-0146,101,60,24,12,5
77,JX-0014,100,100,0,-,-
77,JX-0019,100,100,0,0,0
77,JX-0048,100,95,0,-,5
77,JX-0050,100,100,0,0,-
77,JX-0055,100,100,0,-,-
77,JX-0057,100,100,0,-,-
77,JX-0060,100,100,0,-,0
77,JX-0090,100,100,0,0,-
77,JX-0109,100,100,-,-,-
77,JX-0130,100,100,0,0,-
77,JX-0142,100,100,0,-,-
77,JX-0147,100,100,0,-,-
89,JX-0027,99,95,4,0,-
89,JX-0066,99,95,4,0,-
91,JX-0063,98,90,0,8,0
92,JX-0017,95,95,-,-,0
92,JX-0074,95,90,0,-,5
92,JX-0149,95,95,0,0,0
95,JX-0054,94,90,4,0,0
95,JX-0129,94,90,4,0,-
95,JX-0141,94,90,4,0,0
95,JX-0152,94,90,4,0,-
99,JX-0116,93,85,8,0,-
100,JX-0061,90,85,0,-,5
100,JX-0078,90,90,0,0,0
100,JX-0085,90,90,-,-,-
100,JX-0089,90,70,20,0,0
100,JX-0137,90,90,0,0,0
105,JX-0091,89,65,-,24,0
105,JX-0144,89,85,4,0,-
105,JX-0158,89,65,24,0,0
108,JX-0105,88,80,8,-,-
109,JX-0121,85,85,0,0,-
109,JX-0155,85,85,0,0,0
111,JX-0120,83,75,8,0,0
112,JX-0070,80,80,0,-,-
112,JX-0075,80,80,0,0,-
112,JX-0102,80,80,-,-,-
112,JX-0112,80,75,-,-,5
112,JX-0115,80,80,0,-,-
112,JX-0123,80,80,-,-,-
112,JX-0154,80,80,0,-,-
119,JX-0093,75,75,0,-,-
119,JX-0104,75,75,-,-,-
119,JX-0108,75,75,0,0,0
119,JX-0159,75,75,0,-,-
123,JX-0030,70,70,0,-,-
123,JX-0079,70,70,0,0,-
123,JX-0118,70,70,0,-,-
126,JX-0072,69,65,4,-,-
126,JX-0097,69,65,4,0,-
128,JX-0099,68,60,0,8,0
129,JX-0113,65,65,0,0,0
129,JX-0124,65,65,0,-,-
131,JX-0021,60,60,0,0,0
131,JX-0069,60,60,0,0,0
131,JX-0114,60,60,0,-,-
134,JX-0088,59,55,4,-,-
135,JX-0094,58,50,0,8,-
136,JX-0086,55,55,-,0,-
136,JX-0101,55,55,0,0,-
138,JX-0029,54,50,4,-,-
139,JX-0068,50,50,0,0,0
139,JX-0092,50,45,0,0,5
139,JX-0128,50,50,0,0,0
142,JX-0087,45,45,0,0,-
142,JX-0117,45,45,0,-,-
144,JX-0107,40,40,0,0,-
145,JX-0023,33,0,28,0,5
146,JX-0059,20,0,20,-,-
146,JX-0080,20,0,20,-,-
146,JX-0119,20,20,0,0,0
149,JX-0111,15,15,0,-,-
149,JX-0122,15,15,0,-,-
151,JX-0084,5,0,0,-,5
152,JX-0073,0,0,0,0,0
152,JX-0096,0,0,0,-,-
152,JX-0127,0,0,0,0,0
