#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,LN-0138,296,100,100,56,40
2,LN-0002,293,100,100,48,45
3,LN-0005,240,100,100,40,0
4,LN-0004,236,100,88,8,40
5,LN-0001,227,95,92,0,40
6,LN-0003,208,100,100,8,0
7,LN-0026,160,100,44,16,0
8,LN-0008,158,90,52,16,-
9,LN-0006,152,100,32,0,20
10,LN-0042,147,95,44,8,0
11,LN-0015,145,100,28,12,5
12,LN-0012,143,100,28,0,15
13,LN-0053,136,100,24,12,-
14,LN-0007,135,100,20,0,15
14,LN-0031,135,100,20,0,15
14,LN-0036,135,90,28,12,5
17,LN-0019,133,100,28,0,5
17,LN-0143,133,100,28,0,5
17,LN-0147,133,100,28,0,5
20,LN-0080,129,100,24,0,5
21,LN-0024,128,95,0,8,25
21,LN-0107,128,100,28,0,0
23,LN-0142,125,90,20,0,15
23,LN-0149,125,100,20,0,5
25,LN-0011,124,100,24,-,0
25,LN-0018,124,95,24,0,5
25,LN-0035,124,100,24,0,0
25,LN-0144,124,100,24,0,0
29,LN-0014,123,85,8,0,30
29,LN-0027,123,95,28,0,0
29,LN-0152,123,90,20,8,5
32,LN-0046,120,100,20,0,-
32,LN-0065,120,100,20,0,0
32,LN-0140,120,100,20,-,0
35,LN-0145,119,90,24,-,5
36,LN-0021,118,90,20,8,-
37,LN-0025,116,100,-,16,-
38,LN-0029,115,95,20,0,0
39,LN-0009,114,90,0,24,0
39,LN-0016,114,100,4,0,10
39,LN-0091,114,90,24,-,-
42,LN-0043,113,100,8,0,5
43,LN-0020,112,100,12,-,-
44,LN-0028,109,85,8,16,0
44,LN-0067,109,100,4,0,5
46,LN-0052,108,100,8,-,-
46,LN-0060,108,100,0,8,0
48,LN-0022,106,90,16,0,0
49,LN-0150,105,100,0,0,5
50,LN-0013,104,100,4,0,0
51,LN-0039,103,95,0,8,-
51,LN-0072,103,95,0,8,-
51,LN-0141,103,95,0,8,0
51,LN-0146,103,90,0,8,5
55,LN-0045,102,65,32,0,5
56,LN-0047,100,80,20,0,0
56,LN-0056,100,100,-,0,-
56,LN-0063,100,100,0,0,0
56,LN-0074,100,100,0,-,0
56,LN-0102,100,100,0,-,-
56,LN-0106,100,100,0,0,0
56,LN-0108,100,100,0,0,0
56,LN-0134,100,100,0,0,-
56,LN-0139,100,100,0,0,0
65,LN-0017,98,90,8,0,0
65,LN-0051,98,90,8,0,0
67,LN-0032,95,95,0,-,0
67,LN-0040,95,95,0,0,0
67,LN-0041,95,95,0,0,0
67,LN-0050,95,75,20,0,0
67,LN-0062,95,95,0,-,-
67,LN-0073,95,95,0,0,-
67,LN-0089,95,95,0,0,0
67,LN-0093,95,75,20,0,-
67,LN-0096,95,95,0,-,-
67,LN-0098,95,95,0,-,-
77,LN-0055,93,80,8,0,5
77,LN-0085,93,80,8,0,5
79,LN-0034,90,90,-,-,-
79,LN-0061,90,90,-,-,-
79,LN-0068,90,90,0,0,0
79,LN-0084,90,90,0,0,0
79,LN-0086,90,90,0,0,-
79,LN-0100,90,90,0,-,-
79,LN-0110,90,90,0,0,0
79,LN-0113,90,90,0,0,0
87,LN-0112,87,75,12,0,0
88,LN-0023,85,85,0,0,0
88,LN-0049,85,85,0,0,0
88,LN-0058,85,65,20,0,0
88,LN-0077,85,85,0,-,-
88,LN-0082,85,85,0,0,0
88,LN-0083,85,85,0,0,0
88,LN-0095,85,85,-,0,-
88,LN-0103,85,85,0,0,0
88,LN-0105,85,85,0,-,-
88,LN-0114,85,85,-,-,-
98,LN-0111,84,80,4,0,-
99,LN-0088,83,75,8,-,0
100,LN-0010,80,80,0,0,-
100,LN-0030,80,80,0,0,0
100,LN-0033,80,80,-,0,0
100,LN-0044,80,80,0,-,0
100,LN-0070,80,80,0,0,0
100,LN-0071,80,75,0,0,5
100,LN-0099,80,80,-,-,-
100,LN-0101,80,80,0,0,0
100,LN-0151,80,80,0,-,-
109,LN-0092,78,70,8,0,0
110,LN-0057,77,65,0,12,0
111,LN-0038,75,75,0,0,-
111,LN-0120,75,75,0,0,0
113,LN-0076,74,70,4,0,0
113,LN-0097,74,70,4,0,0
115,LN-0054,70,70,0,0,0
115,LN-0059,70,70,0,0,0
115,LN-0094,70,70,0,0,0
115,LN-0117,70,70,0,0,0
115,LN-0124,70,70,0,0,0
115,LN-0127,70,70,-,-,-
121,LN-0037,69,65,4,0,0
122,LN-0081,65,65,0,0,-
122,LN-0090,65,65,0,0,0
122,LN-0133,65,65,0,0,0
125,LN-0048,60,60,0,0,0
125,LN-0104,60,60,0,0,-
125,LN-0109,60,60,0,0,0
128,LN-0148,56,40,8,8,0
129,LN-0126,55,55,0,-,-
130,LN-0115,50,50,0,0,0
131,LN-0064,45,45,0,-,-
131,LN-0122,45,45,0,0,0
133,LN-0136,40,40,0,-,-
134,LN-0131,25,25,-,-,-
135,LN-0135,10,10,0,0,0
136,LN-0075,8,0,8,0,0
137,LN-0118,5,5,0,-,-
138,LN-0066,0,0,0,0,0
138,LN-0119,0,0,0,-,0
138,LN-0123,0,0,0,0,0
138,LN-0129,0,0,0,0,0
138,LN-0132,0,-,0,0,0
