#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,NM-0003,171,100,28,8,35
2,NM-0002,165,95,32,8,30
3,NM-0006,158,100,20,8,30
4,NM-0005,141,100,28,8,5
5,NM-0004,138,95,20,8,15
6,NM-0013,114,90,-,24,-
7,NM-0038,108,100,8,-,0
8,NM-0001,107,95,12,-,-
9,NM-0009,104,100,4,0,0
10,NM-0020,103,95,8,0,0
10,NM-0031,103,95,8,0,0
12,NM-0007,100,100,0,0,0
12,NM-0012,100,100,0,0,0
12,NM-0018,100,100,0,0,0
12,NM-0027,100,100,0,0,0
16,NM-0016,99,95,4,0,0
17,NM-0055,95,95,0,-,-
18,NM-0010,91,75,8,8,0
19,NM-0026,90,90,0,0,0
19,NM-0033,90,90,0,0,0
19,NM-0044,90,90,-,-,-
22,NM-0008,89,85,4,-,-
23,NM-0067,86,70,4,12,0
24,NM-0019,85,85,0,0,0
24,NM-0028,85,85,0,0,0
24,NM-0032,85,85,0,0,-
24,NM-0042,85,80,0,-,5
24,NM-0045,85,85,0,-,-
24,NM-0057,85,85,0,0,0
30,NM-0024,83,70,8,0,5
31,NM-0025,80,75,0,0,5
31,NM-0034,80,80,0,-,-
31,NM-0050,80,80,0,0,0
31,NM-0062,80,80,0,-,-
35,NM-0015,78,70,0,8,-
36,NM-0047,75,75,0,0,0
36,NM-0074,75,75,0,-,-
38,NM-0061,74,70,4,0,0
39,NM-0058,73,65,8,0,0
40,NM-0021,70,70,0,-,0
40,NM-0035,70,70,0,-,0
40,NM-0053,70,70,0,0,0
40,NM-0056,70,70,0,0,0
44,NM-0014,65,65,0,0,0
44,NM-0017,65,65,0,-,-
44,NM-0037,65,65,0,0,0
44,NM-0041,65,65,0,-,-
44,NM-0048,65,65,-,-,-
44,NM-0049,65,65,-,-,-
44,NM-0068,65,65,0,0,0
44,NM-0070,65,65,-,-,-
44,NM-0071,65,65,0,0,0
53,NM-0023,60,60,0,0,0
53,NM-0051,60,60,0,0,0
55,NM-0030,55,55,0,0,0
55,NM-0060,55,55,0,0,0
55,NM-0063,55,55,0,0,0
55,NM-0073,55,55,0,-,-
59,NM-0029,54,50,4,0,0
60,NM-0039,52,40,12,0,0
61,NM-0059,50,50,0,0,0
61,NM-0072,50,50,0,0,0
63,NM-0036,45,45,0,0,0
64,NM-0064,35,35,0,0,-
64,NM-0065,35,35,-,-,-
66,NM-0011,25,25,-,-,-
66,NM-0043,25,25,0,0,0
66,NM-0077,25,25,0,0,0
69,NM-0046,20,20,0,0,0
69,NM-0054,20,20,0,0,-
69,NM-0078,20,20,0,0,0
72,NM-0069,15,15,0,0,0
73,NM-0022,0,0,0,-,-
73,NM-0052,0,0,0,-,-
73,NM-0066,0,0,0,0,0
73,NM-0075,0,0,0,0,0
73,NM-0076,0,0,-,-,-
