#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,SC-0505,400,100,100,100,100
2,SC-0001,357,100,96,76,85
3,SC-0494,346,100,100,76,70
4,SC-0007,320,100,100,80,40
5,SC-0021,309,100,96,48,65
6,SC-0003,296,95,100,76,25
6,SC-0023,296,100,100,56,40
8,SC-0041,292,100,96,56,40
9,SC-0004,288,100,100,48,40
9,SC-0024,288,100,100,48,40
9,SC-0025,288,100,100,48,40
9,SC-0073,288,100,100,48,40
13,SC-0014,281,95,100,56,30
14,SC-0034,278,100,100,48,30
15,SC-0019,275,95,92,48,40
16,SC-0085,274,100,96,48,30
17,SC-0006,265,100,92,8,65
17,SC-0008,265,100,100,20,45
17,SC-0079,265,100,100,40,25
20,SC-0016,264,100,100,24,40
21,SC-0038,243,95,100,48,0
22,SC-0020,240,100,100,0,40
23,SC-0022,235,95,100,0,40
24,SC-0051,232,100,44,48,40
25,SC-0057,231,100,100,16,15
26,SC-0005,228,100,92,16,20
27,SC-0509,223,95,20,48,60
28,SC-0094,220,95,100,0,25
29,SC-0026,219,100,96,8,15
30,SC-0122,218,95,100,8,15
31,SC-0002,216,100,92,24,0
31,SC-0017,216,100,48,48,20
31,SC-0058,216,100,88,8,20
34,SC-0011,212,95,28,24,65
35,SC-0511,207,90,44,48,25
36,SC-0060,202,100,24,48,30
37,SC-0039,201,85,28,48,40
38,SC-0183,200,100,68,32,-
39,SC-0542,199,95,96,8,-
40,SC-0027,198,100,20,68,10
40,SC-0508,198,100,36,32,30
42,SC-0047,196,100,52,24,20
42,SC-0133,196,100,56,0,40
44,SC-0040,195,95,100,0,0
45,SC-0078,193,100,72,16,5
46,SC-0036,190,95,44,16,35
46,SC-0043,190,95,72,8,15
46,SC-0507,190,95,32,48,15
49,SC-0010,189,100,48,16,25
50,SC-0506,187,95,4,48,40
50,SC-0674,187,95,92,-,0
52,SC-0018,185,100,52,8,25
52,SC-0028,185,100,20,0,65
54,SC-0098,184,95,28,16,45
54,SC-0544,184,100,28,16,40
56,SC-0013,182,100,32,40,10
57,SC-0070,177,100,52,0,25
58,SC-0177,176,100,76,0,-
59,SC-0052,173,100,20,8,45
60,SC-0033,172,80,28,24,40
60,SC-0296,172,100,72,0,0
62,SC-0517,171,85,48,8,30
63,SC-0092,168,100,20,48,0
63,SC-0510,168,100,24,24,20
65,SC-0065,167,100,44,8,15
65,SC-0127,167,100,44,8,15
67,SC-0551,166,100,32,4,30
68,SC-0158,164,100,64,-,-
68,SC-0263,164,100,44,0,20
68,SC-0520,164,100,28,16,20
71,SC-0037,163,95,60,8,-
71,SC-0049,163,100,32,16,15
73,SC-0134,162,100,24,8,30
74,SC-0174,161,100,44,12,5
75,SC-0029,160,100,20,0,40
75,SC-0120,160,80,80,0,-
75,SC-0125,160,100,20,0,40
75,SC-0515,160,100,20,0,40
75,SC-0563,160,95,24,36,5
80,SC-0247,159,100,28,16,15
80,SC-0530,159,100,28,16,15
82,SC-0074,158,95,20,8,35
82,SC-0171,158,85,28,0,45
82,SC-0532,158,100,28,0,30
85,SC-0598,157,100,52,0,5
86,SC-0162,156,100,48,8,-
87,SC-0130,155,100,20,0,35
87,SC-0249,155,95,28,32,-
89,SC-0297,154,100,28,16,10
90,SC-0198,153,90,48,0,15
90,SC-0584,153,100,28,-,25
92,SC-0087,152,95,28,24,5
92,SC-0089,152,95,12,0,45
92,SC-0107,152,95,52,-,5
92,SC-0114,152,100,44,8,0
92,SC-0566,152,100,52,0,-
92,SC-0580,152,100,44,8,-
98,SC-0032,151,95,-,56,-
98,SC-0063,151,90,4,32,25
98,SC-0081,151,100,20,16,15
98,SC-0142,151,100,28,8,15
98,SC-0514,151,100,28,8,15
103,SC-0600,150,100,32,8,10
104,SC-0554,149,100,24,-,25
104,SC-0575,149,100,44,0,5
106,SC-0054,148,95,8,40,5
106,SC-0093,148,100,28,0,20
106,SC-0115,148,100,48,0,0
106,SC-0585,148,100,48,-,0
110,SC-0044,147,100,24,8,15
111,SC-0055,146,100,28,8,10
112,SC-0035,145,100,40,0,5
112,SC-0082,145,100,20,0,25
112,SC-0518,145,100,20,0,25
115,SC-0056,144,100,44,0,0
115,SC-0655,144,100,44,-,-
115,SC-0656,144,100,44,0,0
118,SC-0193,143,100,20,8,15
118,SC-0222,143,100,28,0,15
118,SC-0272,143,100,20,8,15
121,SC-0108,142,100,32,-,10
121,SC-0112,142,100,24,8,10
123,SC-0031,141,100,32,4,5
123,SC-0101,141,100,28,8,5
123,SC-0521,141,90,28,8,15
123,SC-0522,141,100,28,8,5
127,SC-0069,140,100,32,8,0
127,SC-0197,140,100,40,0,0
127,SC-0513,140,95,40,0,5
127,SC-0528,140,85,28,12,15
127,SC-0562,140,95,28,12,5
127,SC-0590,140,100,-,0,40
133,SC-0132,138,100,8,0,30
133,SC-0535,138,100,20,8,10
133,SC-0550,138,100,28,0,10
133,SC-0559,138,100,28,0,10
133,SC-0612,138,80,20,8,30
133,SC-0676,138,95,28,0,15
139,SC-0072,137,100,24,8,5
139,SC-0141,137,95,32,-,10
139,SC-0194,137,100,32,0,5
139,SC-0209,137,100,32,0,5
139,SC-0539,137,100,24,8,5
139,SC-0549,137,100,24,8,5
145,SC-0030,136,100,8,8,20
145,SC-0100,136,95,28,8,5
145,SC-0201,136,100,20,16,-
145,SC-0519,136,100,28,8,-
145,SC-0541,136,100,28,8,0
145,SC-0579,136,100,28,8,-
145,SC-0607,136,100,28,8,0
145,SC-0659,136,100,28,8,0
153,SC-0064,135,95,40,0,0
153,SC-0205,135,90,32,8,5
155,SC-0050,133,100,20,8,5
155,SC-0061,133,100,20,8,5
155,SC-0062,133,100,24,4,5
155,SC-0084,133,100,20,8,5
155,SC-0152,133,100,20,8,5
155,SC-0153,133,100,20,8,5
155,SC-0169,133,85,32,16,0
155,SC-0187,133,100,28,0,5
155,SC-0195,133,100,28,0,5
155,SC-0206,133,100,28,-,5
155,SC-0252,133,100,20,8,5
155,SC-0512,133,100,28,0,5
155,SC-0526,133,100,28,0,5
155,SC-0565,133,100,28,0,5
155,SC-0633,133,100,28,0,5
155,SC-0641,133,100,28,0,5
171,SC-0075,132,95,24,8,5
171,SC-0099,132,95,32,0,5
171,SC-0144,132,100,32,0,0
171,SC-0151,132,100,32,0,-
171,SC-0188,132,100,28,4,-
171,SC-0196,132,100,24,8,0
171,SC-0523,132,100,24,8,-
171,SC-0553,132,100,8,24,-
171,SC-0557,132,100,28,4,-
171,SC-0588,132,100,24,8,0
171,SC-0593,132,100,24,8,0
171,SC-0596,132,95,24,8,5
171,SC-0631,132,100,20,12,-
184,SC-0083,131,95,28,8,-
184,SC-0217,131,100,8,8,15
184,SC-0531,131,100,8,8,15
184,SC-0678,131,70,28,8,25
188,SC-0170,130,90,24,16,-
188,SC-0218,130,90,8,32,0
190,SC-0042,129,100,24,0,5
190,SC-0046,129,100,24,-,5
190,SC-0113,129,100,8,16,5
190,SC-0191,129,100,16,8,5
190,SC-0245,129,100,24,-,5
190,SC-0301,129,100,24,0,5
190,SC-0516,129,100,24,0,5
197,SC-0066,128,100,28,-,-
197,SC-0071,128,100,4,24,-
197,SC-0104,128,95,28,0,5
197,SC-0128,128,100,28,0,-
197,SC-0138,128,95,28,0,5
197,SC-0146,128,100,20,8,-
197,SC-0164,128,100,12,16,0
197,SC-0203,128,85,20,8,15
197,SC-0246,128,100,28,-,-
197,SC-0323,128,95,28,0,5
197,SC-0529,128,100,28,0,0
197,SC-0608,128,100,20,8,-
197,SC-0616,128,100,0,28,0
197,SC-0622,128,100,28,0,-
211,SC-0067,127,100,12,-,15
211,SC-0255,127,95,8,24,-
211,SC-0258,127,95,32,-,-
211,SC-0592,127,95,24,8,0
211,SC-0603,127,90,20,12,5
216,SC-0088,126,100,8,8,10
216,SC-0236,126,90,36,0,0
218,SC-0208,125,100,20,0,5
218,SC-0556,125,100,20,0,5
218,SC-0576,125,100,20,-,5
218,SC-0605,125,100,20,0,5
218,SC-0606,125,100,20,0,5
218,SC-0673,125,100,20,-,5
224,SC-0150,124,100,24,0,-
224,SC-0161,124,100,24,0,0
224,SC-0189,124,100,24,-,-
224,SC-0212,124,100,24,-,-
224,SC-0223,124,100,24,-,-
224,SC-0225,124,100,16,8,0
224,SC-0232,124,100,0,24,0
224,SC-0250,124,100,24,0,0
224,SC-0253,124,100,24,0,0
224,SC-0290,124,100,24,0,0
224,SC-0578,124,95,24,0,5
224,SC-0581,124,100,24,0,0
236,SC-0537,123,95,28,0,0
236,SC-0555,123,100,4,4,15
236,SC-0561,123,90,28,-,5
236,SC-0638,123,95,28,0,0
240,SC-0096,122,90,24,8,0
241,SC-0045,121,100,8,8,5
241,SC-0570,121,100,16,-,5
241,SC-0573,121,100,0,16,5
241,SC-0693,121,100,16,0,5
245,SC-0015,120,100,20,0,0
245,SC-0139,120,100,20,0,0
