#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,SH-0009,400,100,100,100,100
2,SH-0003,396,100,100,96,100
3,SH-0001,390,100,100,100,90
4,SH-0011,348,100,100,48,100
5,SH-0005,321,100,100,76,45
6,SH-0004,316,95,100,76,45
6,SH-0018,316,100,100,16,100
8,SH-0012,307,100,92,40,75
9,SH-0358,301,100,100,76,25
10,SH-0020,299,100,100,24,75
11,SH-0027,293,100,100,48,45
12,SH-0007,292,100,92,0,100
13,SH-0077,275,95,100,40,40
14,SH-0016,273,100,100,48,25
15,SH-0014,259,100,96,48,15
16,SH-0006,254,95,68,16,75
17,SH-0033,253,100,100,8,45
18,SH-0367,248,95,100,48,5
19,SH-0013,245,100,100,0,45
20,SH-0019,242,95,100,32,15
21,SH-0055,241,100,100,16,25
22,SH-0379,240,100,100,0,40
23,SH-0116,238,100,92,16,30
23,SH-0360,238,100,100,8,30
25,SH-0076,237,100,100,12,25
26,SH-0017,232,95,92,40,5
27,SH-0010,226,95,100,16,15
28,SH-0015,225,100,100,0,25
29,SH-0043,223,100,100,8,15
29,SH-0044,223,100,100,8,15
29,SH-0128,223,100,92,16,15
32,SH-0035,221,100,92,4,25
33,SH-0061,220,95,92,8,25
33,SH-0118,220,95,100,-,25
35,SH-0024,219,100,56,48,15
36,SH-0002,217,100,24,48,45
37,SH-0361,216,100,100,16,-
38,SH-0088,215,100,100,-,15
39,SH-0140,213,100,100,8,5
40,SH-0366,210,100,100,0,10
40,SH-0382,210,95,100,0,15
42,SH-0032,209,60,100,24,25
43,SH-0040,208,100,100,8,0
43,SH-0057,208,100,100,8,0
43,SH-0389,208,100,100,8,0
46,SH-0143,205,100,92,8,5
46,SH-0458,205,100,100,0,5
48,SH-0363,203,100,88,0,15
49,SH-0008,200,100,-,-,100
49,SH-0031,200,100,100,0,0
49,SH-0086,200,95,100,0,5
49,SH-0110,200,100,100,-,0
53,SH-0049,197,95,24,48,30
54,SH-0357,195,95,100,0,0
54,SH-0364,195,95,100,-,-
56,SH-0368,192,100,92,0,-
57,SH-0078,191,90,96,0,5
57,SH-0371,191,95,40,16,40
59,SH-0167,187,95,92,-,-
59,SH-0273,187,95,92,-,-
61,SH-0046,185,100,72,8,5
62,SH-0023,184,100,8,76,0
63,SH-0091,182,95,72,0,15
64,SH-0376,180,95,52,8,25
65,SH-0089,179,100,52,12,15
66,SH-0419,178,90,88,0,0
67,SH-0156,177,85,92,0,0
68,SH-0037,172,100,52,-,20
68,SH-0045,172,100,52,0,20
70,SH-0415,171,100,48,8,15
71,SH-0194,170,100,44,16,10
72,SH-0050,169,100,4,40,25
73,SH-0028,168,100,52,16,0
73,SH-0373,168,95,52,16,5
73,SH-0390,168,95,44,24,5
76,SH-0021,167,95,44,8,20
76,SH-0412,167,95,28,44,-
78,SH-0172,165,100,48,12,5
78,SH-0440,165,100,60,-,5
78,SH-0443,165,100,52,8,5
81,SH-0041,162,100,52,0,10
81,SH-0090,162,100,24,8,30
81,SH-0365,162,100,24,8,30
84,SH-0054,161,100,48,8,5
84,SH-0104,161,100,40,16,5
86,SH-0073,160,100,44,16,0
86,SH-0130,160,100,52,8,0
86,SH-0393,160,100,52,8,0
89,SH-0067,159,95,48,16,-
90,SH-0372,158,95,48,0,15
90,SH-0491,158,100,28,0,30
92,SH-0053,157,95,44,8,10
92,SH-0102,157,100,44,8,5
92,SH-0191,157,80,64,8,5
92,SH-0469,157,100,28,24,5
92,SH-0490,157,100,52,-,5
97,SH-0494,156,95,28,8,25
98,SH-0466,153,100,20,8,25
99,SH-0069,152,100,28,24,0
99,SH-0190,152,100,52,0,0
99,SH-0322,152,95,44,8,5
99,SH-0381,152,95,24,8,25
99,SH-0423,152,100,52,0,0
104,SH-0100,151,100,8,8,35
105,SH-0092,149,100,28,16,5
105,SH-0355,149,100,28,16,5
105,SH-0377,149,100,20,24,5
108,SH-0072,148,95,48,0,5
108,SH-0141,148,100,40,8,0
108,SH-0254,148,100,32,16,0
108,SH-0437,148,100,48,0,-
112,SH-0025,147,95,4,48,0
112,SH-0496,147,100,24,8,15
112,SH-0518,147,95,52,-,-
115,SH-0115,146,95,20,16,15
115,SH-0442,146,90,32,24,0
117,SH-0131,145,100,32,8,5
117,SH-0493,145,100,20,0,25
119,SH-0034,144,100,44,0,0
119,SH-0065,144,100,44,-,-
119,SH-0205,144,100,28,16,0
119,SH-0268,144,100,44,-,-
119,SH-0452,144,100,44,0,0
124,SH-0084,143,100,20,8,15
124,SH-0353,143,95,48,0,0
124,SH-0362,143,100,28,0,15
124,SH-0482,143,100,20,8,15
128,SH-0394,142,100,24,8,10
129,SH-0058,141,100,28,8,5
