#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,SN-0005,313,95,100,68,50
2,SN-0001,311,95,100,76,40
3,SN-0003,303,100,100,48,55
4,SN-0176,288,100,92,56,40
5,SN-0017,285,100,100,40,45
6,SN-0020,276,100,100,76,0
7,SN-0006,257,100,96,16,45
8,SN-0177,256,100,100,16,40
9,SN-0021,253,100,100,48,5
10,SN-0002,236,100,96,40,0
11,SN-0180,228,95,100,8,25
12,SN-0018,224,100,100,24,-
13,SN-0037,223,100,92,16,15
14,SN-0188,210,100,100,0,10
15,SN-0011,200,95,100,0,5
16,SN-0179,196,100,56,0,40
17,SN-0032,193,95,28,40,30
18,SN-0036,185,100,28,12,45
19,SN-0007,179,95,68,16,0
20,SN-0012,176,100,32,4,40
21,SN-0227,170,100,52,8,10
22,SN-0182,169,100,64,0,5
23,SN-0211,162,100,24,8,30
24,SN-0198,158,100,28,0,30
25,SN-0196,157,100,44,8,5
26,SN-0039,156,80,28,8,40
27,SN-0004,155,100,0,40,15
28,SN-0025,154,100,24,0,30
29,SN-0026,153,100,48,0,5
29,SN-0220,153,100,20,8,25
31,SN-0212,149,95,28,16,10
32,SN-0008,146,95,28,8,15
32,SN-0048,146,100,8,8,30
34,SN-0019,144,100,4,40,-
34,SN-0186,144,100,28,16,0
36,SN-0194,143,95,20,8,20
36,SN-0224,143,95,48,0,0
38,SN-0191,141,100,28,8,5
39,SN-0040,140,90,20,0,30
39,SN-0181,140,100,32,8,0
41,SN-0192,138,100,0,8,30
42,SN-0178,137,100,20,12,5
43,SN-0215,136,100,28,8,0
44,SN-0187,133,100,20,8,5
45,SN-0031,132,85,28,4,15
45,SN-0124,132,100,8,24,0
45,SN-0197,132,100,24,8,0
45,SN-0207,132,100,8,24,0
45,SN-0216,132,95,32,0,5
50,SN-0210,131,95,36,0,0
50,SN-0230,131,95,24,12,0
52,SN-0184,130,100,0,0,30
53,SN-0009,128,100,28,0,0
53,SN-0013,128,100,28,0,0
53,SN-0041,128,100,28,0,0
53,SN-0042,128,95,28,0,5
53,SN-0045,128,100,28,0,0
53,SN-0056,128,95,28,0,5
53,SN-0202,128,100,20,8,0
60,SN-0185,126,90,28,8,0
61,SN-0200,125,95,20,0,10
62,SN-0067,124,95,24,0,5
62,SN-0098,124,100,24,0,0
62,SN-0222,124,100,24,0,0
65,SN-0049,123,95,28,0,0
65,SN-0193,123,95,28,0,0
65,SN-0223,123,90,20,8,5
65,SN-0226,123,90,20,8,5
69,SN-0050,121,100,16,0,5
69,SN-0201,121,65,20,36,0
71,SN-0199,120,100,20,-,0
72,SN-0014,117,85,20,12,0
73,SN-0027,116,100,0,16,0
74,SN-0028,115,90,20,0,5
74,SN-0068,115,95,20,0,0
74,SN-0183,115,95,20,0,0
77,SN-0016,113,100,8,0,5
77,SN-0023,113,100,0,8,5
79,SN-0024,112,100,12,0,0
79,SN-0097,112,100,12,0,0
81,SN-0022,111,95,16,0,0
82,SN-0051,110,90,20,0,0
83,SN-0046,109,100,4,0,5
83,SN-0218,109,100,0,4,5
85,SN-0010,108,100,8,0,0
85,SN-0205,108,100,8,0,0
85,SN-0214,108,100,8,0,0
88,SN-0072,107,90,12,0,5
89,SN-0033,105,95,0,0,10
89,SN-0229,105,100,0,0,5
91,SN-0015,104,100,4,0,0
91,SN-0228,104,95,4,0,5
93,SN-0075,103,95,8,0,0
94,SN-0030,102,90,12,0,0
94,SN-0095,102,90,12,0,0
96,SN-0034,100,100,0,-,-
96,SN-0043,100,100,0,0,0
96,SN-0053,100,100,0,0,0
96,SN-0057,100,100,0,0,-
96,SN-0066,100,100,0,0,0
96,SN-0071,100,100,0,0,0
96,SN-0085,100,100,0,0,0
96,SN-0088,100,100,0,0,0
96,SN-0157,100,100,0,0,0
96,SN-0203,100,100,0,0,0
96,SN-0204,100,100,0,0,0
96,SN-0206,100,100,0,0,0
96,SN-0209,100,100,0,0,0
96,SN-0213,100,100,0,0,0
96,SN-0225,100,100,0,0,0
111,SN-0208,99,70,24,0,5
112,SN-0029,98,90,8,0,0
112,SN-0217,98,90,8,0,0
114,SN-0044,95,95,0,0,0
114,SN-0060,95,95,0,0,0
114,SN-0062,95,95,0,0,0
114,SN-0077,95,95,0,0,0
114,SN-0155,95,95,0,0,0
114,SN-0189,95,95,-,-,-
114,SN-0195,95,90,0,0,5
121,SN-0110,93,85,8,0,0
122,SN-0047,91,75,16,0,0
123,SN-0038,90,90,0,0,0
123,SN-0052,90,90,0,0,0
123,SN-0054,90,90,0,0,0
123,SN-0055,90,70,20,0,0
123,SN-0078,90,90,0,0,0
123,SN-0084,90,90,0,0,0
123,SN-0133,90,90,0,0,0
123,SN-0138,90,90,0,0,0
131,SN-0065,85,85,0,0,0
