#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,SX-0003,276,100,100,56,20
2,SX-0004,238,100,100,8,30
3,SX-0001,228,95,100,8,25
4,SX-0006,173,95,40,8,30
5,SX-0005,169,100,44,0,25
6,SX-0002,157,100,32,0,25
7,SX-0008,149,100,28,16,5
8,SX-0128,148,100,0,48,-
9,SX-0012,145,75,32,8,30
10,SX-0037,140,100,32,8,-
11,SX-0013,139,95,44,0,-
12,SX-0014,135,95,24,16,-
13,SX-0010,133,90,28,0,15
14,SX-0015,132,100,32,0,0
14,SX-0130,132,100,32,0,0
16,SX-0032,124,100,24,0,-
16,SX-0036,124,100,24,0,0
18,SX-0007,123,95,20,8,-
18,SX-0017,123,95,20,8,0
18,SX-0023,123,95,28,0,-
21,SX-0029,122,100,0,12,10
22,SX-0127,120,95,20,0,5
23,SX-0022,116,100,8,8,-
24,SX-0049,115,95,20,0,-
24,SX-0111,115,95,20,0,0
26,SX-0020,114,90,24,0,0
27,SX-0018,113,100,8,0,5
28,SX-0027,112,100,0,12,0
29,SX-0021,111,95,16,0,0
29,SX-0034,111,95,4,12,0
31,SX-0011,108,100,8,0,0
31,SX-0026,108,100,8,0,-
31,SX-0028,108,100,0,8,0
31,SX-0089,108,100,8,0,0
31,SX-0135,108,100,8,0,0
36,SX-0055,104,95,4,0,5
37,SX-0030,103,95,8,0,0
37,SX-0094,103,95,8,0,0
39,SX-0116,102,90,4,8,0
40,SX-0016,100,75,20,-,5
40,SX-0019,100,100,0,0,0
40,SX-0025,100,100,0,-,-
40,SX-0039,100,100,0,0,-
40,SX-0040,100,100,0,-,-
40,SX-0048,100,100,0,0,0
40,SX-0061,100,95,0,0,5
40,SX-0066,100,100,0,0,0
40,SX-0068,100,100,0,-,0
40,SX-0073,100,100,0,-,-
40,SX-0101,100,100,0,0,0
40,SX-0108,100,100,0,0,0
40,SX-0132,100,100,0,0,0
40,SX-0133,100,100,0,-,-
40,SX-0137,100,100,0,-,-
55,SX-0038,98,90,8,0,-
56,SX-0134,96,80,16,0,0
57,SX-0009,95,95,0,0,0
57,SX-0054,95,95,-,0,-
57,SX-0058,95,90,0,0,5
57,SX-0062,95,95,0,0,0
57,SX-0092,95,95,0,0,-
57,SX-0095,95,95,0,-,-
57,SX-0102,95,95,0,0,0
57,SX-0131,95,95,0,0,0
57,SX-0138,95,95,0,0,0
66,SX-0115,94,90,4,0,0
67,SX-0047,92,80,8,4,0
68,SX-0033,90,90,0,-,-
68,SX-0041,90,90,0,0,-
68,SX-0045,90,90,0,0,0
68,SX-0090,90,90,0,0,-
68,SX-0098,90,90,0,0,0
68,SX-0139,90,90,0,0,0
74,SX-0083,89,85,4,0,0
75,SX-0086,88,80,8,0,0
76,SX-0031,87,75,0,12,-
77,SX-0063,85,85,0,-,-
77,SX-0064,85,65,20,0,-
77,SX-0070,85,85,0,0,0
77,SX-0097,85,85,0,0,0
77,SX-0099,85,85,0,0,0
77,SX-0105,85,85,0,0,0
77,SX-0110,85,85,0,0,0
84,SX-0024,84,80,4,0,-
85,SX-0114,83,75,8,0,0
86,SX-0060,80,80,0,0,0
87,SX-0042,75,70,-,-,5
87,SX-0050,75,75,0,0,-
87,SX-0052,75,75,0,0,0
87,SX-0069,75,75,0,0,0
87,SX-0077,75,75,0,0,0
87,SX-0079,75,75,0,-,-
87,SX-0085,75,75,0,0,0
87,SX-0103,75,75,0,0,0
87,SX-0104,75,75,0,-,-
96,SX-0129,73,65,8,0,0
97,SX-0035,70,70,0,0,0
97,SX-0043,70,70,0,0,0
97,SX-0051,70,70,0,0,0
97,SX-0056,70,70,0,0,0
97,SX-0072,70,70,0,0,-
97,SX-0076,70,70,0,0,-
97,SX-0078,70,70,0,-,-
97,SX-0123,70,70,0,0,0
97,SX-0136,70,70,0,0,0
106,SX-0118,68,60,8,-,-
107,SX-0046,65,65,0,0,0
107,SX-0071,65,45,20,0,0
107,SX-0075,65,65,0,0,-
107,SX-0091,65,65,0,0,0
107,SX-0096,65,65,0,-,-
112,SX-0044,63,55,8,0,0
112,SX-0057,63,55,0,8,0
114,SX-0059,60,60,0,0,0
114,SX-0065,60,60,0,0,0
116,SX-0067,59,55,4,0,-
117,SX-0088,56,40,16,0,0
118,SX-0074,55,55,0,0,0
119,SX-0100,50,50,0,0,0
120,SX-0081,48,40,8,-,-
121,SX-0113,45,45,0,0,0
121,SX-0125,45,45,0,0,0
123,SX-0109,30,30,0,0,0
123,SX-0112,30,30,0,0,0
125,SX-0080,25,25,0,0,0
125,SX-0087,25,25,0,0,0
127,SX-0053,20,20,0,0,0
127,SX-0093,20,20,0,0,0
129,SX-0107,15,15,0,0,0
130,SX-0119,5,5,0,0,0
130,SX-0122,5,5,0,0,0
132,SX-0084,0,0,0,0,0
132,SX-0106,0,0,0,0,0
132,SX-0117,0,0,0,0,0
132,SX-0120,0,0,0,0,0
132,SX-0121,0,0,-,0,-
132,SX-0124,0,0,-,-,-
132,SX-0126,0,0,-,-,-
