#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,TJ-0104,223,100,100,8,15
2,TJ-0020,200,100,100,-,-
2,TJ-0108,200,100,52,8,40
2,TJ-0111,200,100,100,0,0
5,TJ-0004,198,85,100,8,5
6,TJ-0002,197,100,52,40,5
7,TJ-0001,192,100,44,48,0
8,TJ-0007,188,95,68,0,25
9,TJ-0021,168,95,40,8,25
10,TJ-0016,152,100,24,8,20
10,TJ-0019,152,100,52,0,0
12,TJ-0114,146,75,48,8,15
13,TJ-0116,143,100,28,0,15
14,TJ-0005,142,75,28,24,15
15,TJ-0024,132,100,32,0,-
15,TJ-0117,132,100,32,0,-
17,TJ-0003,130,100,20,0,10
18,TJ-0011,128,100,28,-,0
18,TJ-0028,128,100,28,0,0
18,TJ-0113,128,95,28,0,5
18,TJ-0115,128,100,28,0,0
18,TJ-0120,128,100,28,0,-
18,TJ-0122,128,100,28,0,0
24,TJ-0110,127,95,24,8,0
25,TJ-0048,124,95,16,8,5
25,TJ-0118,124,100,24,0,-
27,TJ-0010,123,95,28,0,0
27,TJ-0015,123,95,28,-,0
29,TJ-0029,122,90,8,24,0
30,TJ-0006,120,95,20,0,5
30,TJ-0036,120,100,20,-,-
30,TJ-0047,120,100,20,0,0
30,TJ-0062,120,100,20,0,0
34,TJ-0124,119,95,24,0,0
35,TJ-0025,117,85,8,24,0
36,TJ-0112,115,95,20,0,0
37,TJ-0009,112,100,4,8,-
37,TJ-0018,112,100,12,0,0
37,TJ-0046,112,100,12,0,0
37,TJ-0123,112,100,12,-,0
37,TJ-0125,112,100,0,12,0
42,TJ-0034,110,85,20,0,5
43,TJ-0127,109,80,24,0,5
44,TJ-0014,108,100,8,-,0
44,TJ-0023,108,100,8,0,0
44,TJ-0035,108,100,8,0,0
47,TJ-0008,105,100,0,0,5
48,TJ-0080,104,100,4,0,0
48,TJ-0097,104,100,4,0,0
50,TJ-0073,102,90,12,0,0
51,TJ-0017,100,80,12,8,-
51,TJ-0037,100,100,0,-,-
51,TJ-0041,100,100,0,-,-
51,TJ-0098,100,100,0,0,0
51,TJ-0126,100,100,0,0,-
56,TJ-0074,99,95,4,-,-
57,TJ-0065,98,90,8,0,0
57,TJ-0100,98,90,8,0,0
57,TJ-0101,98,90,8,-,-
57,TJ-0109,98,90,8,0,0
57,TJ-0121,98,90,8,0,0
62,TJ-0012,95,90,-,-,5
62,TJ-0013,95,95,0,0,0
62,TJ-0040,95,95,0,0,-
62,TJ-0053,95,95,0,0,0
62,TJ-0075,95,95,0,0,0
67,TJ-0032,93,85,8,-,-
67,TJ-0052,93,85,0,8,-
69,TJ-0031,91,75,8,8,0
70,TJ-0030,90,90,0,0,-
70,TJ-0056,90,90,0,0,0
70,TJ-0083,90,90,0,0,-
70,TJ-0085,90,90,0,0,-
70,TJ-0096,90,90,0,0,-
70,TJ-0106,90,90,0,0,0
76,TJ-0039,89,80,4,0,5
76,TJ-0064,89,85,4,-,0
78,TJ-0049,86,65,16,0,5
79,TJ-0060,85,85,0,0,0
79,TJ-0077,85,65,20,0,0
79,TJ-0082,85,85,0,0,0
82,TJ-0066,82,70,12,0,0
83,TJ-0027,80,80,0,0,0
83,TJ-0044,80,80,0,0,-
83,TJ-0071,80,80,0,0,0
83,TJ-0088,80,80,0,-,-
87,TJ-0038,78,70,8,0,0
88,TJ-0051,75,75,0,0,0
88,TJ-0058,75,75,0,0,0
88,TJ-0063,75,65,0,0,10
88,TJ-0067,75,70,0,-,5
88,TJ-0068,75,55,20,0,0
88,TJ-0072,75,75,0,0,0
88,TJ-0081,75,75,0,0,0
88,TJ-0090,75,75,0,0,0
88,TJ-0091,75,75,-,-,-
97,TJ-0095,70,70,0,0,0
98,TJ-0055,65,65,0,-,-
98,TJ-0057,65,65,0,0,0
98,TJ-0059,65,65,0,0,0
98,TJ-0076,65,65,0,0,0
98,TJ-0078,65,65,0,0,0
98,TJ-0103,65,65,0,0,0
98,TJ-0105,65,65,0,0,0
98,TJ-0119,65,65,0,0,-
106,TJ-0050,64,40,0,24,0
107,TJ-0043,60,60,0,0,0
107,TJ-0099,60,60,0,0,0
109,TJ-0061,55,55,0,0,0
109,TJ-0107,55,55,0,0,0
111,TJ-0092,52,40,12,-,-
112,TJ-0093,45,25,20,0,0
113,TJ-0070,40,40,0,-,-
114,TJ-0087,30,30,0,0,0
115,TJ-0069,25,25,0,0,0
116,TJ-0084,20,20,0,0,0
116,TJ-0086,20,20,0,0,0
118,TJ-0022,16,0,16,0,0
119,TJ-0045,15,15,0,0,0
120,TJ-0054,9,0,4,0,5
121,TJ-0026,0,0,0,-,-
121,TJ-0033,0,0,0,0,-
121,TJ-0042,0,0,0,-,0
121,TJ-0079,0,0,-,-,-
121,TJ-0089,0,0,0,0,0
121,TJ-0094,0,0,0,0,0
