#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,XJ-0001,238,95,100,8,35
2,XJ-0009,160,100,52,8,-
3,XJ-0113,148,100,32,16,0
4,XJ-0114,144,100,20,24,0
5,XJ-0005,137,100,24,8,5
6,XJ-0002,135,95,40,0,-
7,XJ-0112,131,90,28,8,5
8,XJ-0007,128,100,28,-,-
8,XJ-0016,128,100,28,0,0
8,XJ-0030,128,100,20,8,-
11,XJ-0004,124,100,8,16,-
11,XJ-0006,124,100,24,-,0
13,XJ-0008,111,90,16,0,5
14,XJ-0028,110,90,20,0,0
15,XJ-0043,108,100,8,-,-
15,XJ-0064,108,100,8,0,0
15,XJ-0090,108,80,20,8,-
18,XJ-0003,105,100,0,0,5
18,XJ-0032,105,85,20,0,-
20,XJ-0022,104,100,4,0,0
21,XJ-0014,100,100,-,-,-
21,XJ-0019,100,100,0,-,-
21,XJ-0024,100,100,0,0,0
21,XJ-0027,100,100,0,0,0
21,XJ-0105,100,100,0,-,-
21,XJ-0118,100,100,0,0,0
27,XJ-0066,97,65,24,8,0
28,XJ-0011,95,85,0,0,10
28,XJ-0116,95,95,-,-,-
30,XJ-0010,94,90,4,-,-
31,XJ-0041,93,85,8,0,-
31,XJ-0103,93,85,8,0,0
33,XJ-0013,90,90,0,0,0
33,XJ-0049,90,90,0,-,-
33,XJ-0050,90,70,20,-,0
33,XJ-0055,90,90,0,0,-
33,XJ-0061,90,90,0,-,-
33,XJ-0063,90,90,0,0,-
33,XJ-0078,90,90,-,-,-
40,XJ-0012,85,85,0,-,-
40,XJ-0017,85,85,0,-,-
40,XJ-0025,85,85,0,0,0
40,XJ-0033,85,85,0,0,0
40,XJ-0057,85,85,0,-,0
40,XJ-0059,85,85,0,-,-
46,XJ-0029,84,75,4,-,5
47,XJ-0018,80,80,-,-,-
47,XJ-0035,80,80,0,-,-
47,XJ-0068,80,80,-,0,-
50,XJ-0115,79,75,4,-,-
51,XJ-0056,75,75,0,0,-
51,XJ-0069,75,70,0,0,5
51,XJ-0091,75,75,0,0,-
54,XJ-0015,73,65,8,0,-
54,XJ-0026,73,65,-,8,-
54,XJ-0046,73,65,8,-,-
57,XJ-0038,70,70,0,-,-
57,XJ-0040,70,70,0,0,0
57,XJ-0080,70,70,0,-,-
57,XJ-0083,70,70,0,0,0
57,XJ-0104,70,70,0,0,0
62,XJ-0034,65,65,-,-,-
62,XJ-0036,65,65,0,0,0
62,XJ-0052,65,65,0,0,0
62,XJ-0053,65,65,0,-,-
62,XJ-0060,65,65,0,0,0
62,XJ-0094,65,65,0,-,-
62,XJ-0096,65,65,0,-,0
62,XJ-0102,65,65,0,0,0
70,XJ-0031,60,60,0,0,0
70,XJ-0045,60,55,0,0,5
70,XJ-0070,60,60,0,0,0
70,XJ-0084,60,60,0,0,0
74,XJ-0020,55,55,0,0,0
74,XJ-0047,55,55,0,0,0
74,XJ-0048,55,55,0,0,0
74,XJ-0074,55,55,0,0,0
78,XJ-0075,50,50,0,0,0
78,XJ-0117,50,50,0,0,0
80,XJ-0065,40,40,0,-,-
80,XJ-0088,40,40,0,0,0
82,XJ-0076,35,35,0,0,-
82,XJ-0081,35,35,0,0,-
84,XJ-0082,30,30,0,0,0
84,XJ-0085,30,30,0,0,0
86,XJ-0044,25,25,0,0,0
86,XJ-0058,25,25,0,0,-
86,XJ-0062,25,25,0,-,-
86,XJ-0107,25,25,0,-,-
90,XJ-0042,20,20,0,0,0
90,XJ-0079,20,20,0,0,0
92,XJ-0077,10,10,0,0,0
93,XJ-0087,5,5,-,0,0
94,XJ-0021,4,0,4,-,-
95,XJ-0023,0,0,-,-,-
95,XJ-0039,0,0,0,0,0
95,XJ-0073,0,0,-,-,-
95,XJ-0086,0,0,-,0,-
95,XJ-0089,0,0,0,0,0
95,XJ-0093,0,0,0,0,-
95,XJ-0097,0,0,0,0,-
95,XJ-0098,0,0,0,0,0
95,XJ-0099,0,0,0,0,0
95,XJ-0100,0,0,-,-,-
95,XJ-0106,0,0,0,0,0
95,XJ-0110,0,0,0,0,0
95,XJ-0111,0,0,0,0,0
