#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,YN-0004,194,95,84,0,15
2,YN-0107,164,95,44,0,25
3,YN-0003,148,100,48,-,-
4,YN-0013,144,100,20,24,-
5,YN-0010,143,95,48,-,-
6,YN-0009,136,100,28,8,-
7,YN-0108,134,100,16,8,10
8,YN-0110,132,100,24,8,0
9,YN-0006,129,100,24,0,5
10,YN-0015,128,80,48,0,-
11,YN-0001,124,100,24,0,0
12,YN-0014,123,95,28,-,-
13,YN-0002,120,100,20,-,-
14,YN-0007,119,95,24,0,0
15,YN-0005,118,85,8,0,25
15,YN-0105,118,85,20,8,5
17,YN-0106,116,100,4,12,-
18,YN-0085,114,90,0,24,-
19,YN-0113,110,90,20,0,0
20,YN-0017,109,85,24,-,-
21,YN-0036,108,100,8,-,-
21,YN-0045,108,100,8,0,0
23,YN-0040,104,100,4,0,-
24,YN-0062,103,95,8,-,-
25,YN-0021,102,90,0,12,0
25,YN-0034,102,90,12,0,0
27,YN-0008,100,100,0,-,-
27,YN-0012,100,100,0,0,0
27,YN-0019,100,100,0,0,-
27,YN-0023,100,100,0,-,-
27,YN-0024,100,100,0,-,-
27,YN-0082,100,100,0,0,0
27,YN-0115,100,100,0,0,-
34,YN-0025,98,90,8,-,-
35,YN-0088,97,85,-,12,-
36,YN-0044,95,95,0,0,0
37,YN-0031,93,80,8,0,5
38,YN-0026,90,90,0,0,0
38,YN-0059,90,90,-,-,-
38,YN-0099,90,90,0,-,0
38,YN-0109,90,65,20,0,5
42,YN-0018,87,75,4,8,-
43,YN-0016,85,85,0,-,-
43,YN-0022,85,85,0,0,-
43,YN-0051,85,85,0,0,0
46,YN-0046,75,75,0,0,0
46,YN-0048,75,75,0,0,0
46,YN-0053,75,75,0,-,-
46,YN-0056,75,75,0,-,-
46,YN-0067,75,75,0,-,-
46,YN-0111,75,75,0,-,0
52,YN-0029,74,70,4,0,-
52,YN-0079,74,70,4,-,-
54,YN-0080,73,65,8,0,0
55,YN-0041,70,70,-,-,-
55,YN-0061,70,70,0,-,-
55,YN-0063,70,70,0,0,0
55,YN-0086,70,70,-,-,0
59,YN-0033,69,65,4,-,-
59,YN-0094,69,65,0,4,0
61,YN-0011,65,65,0,0,0
61,YN-0020,65,65,0,0,0
61,YN-0032,65,65,0,-,-
61,YN-0039,65,65,0,0,0
61,YN-0078,65,65,0,0,-
61,YN-0093,65,65,0,0,0
67,YN-0055,60,60,0,0,-
67,YN-0066,60,60,0,0,0
67,YN-0114,60,60,0,0,0
70,YN-0035,59,55,4,-,-
71,YN-0076,55,55,0,-,-
71,YN-0090,55,55,0,0,0
71,YN-0096,55,55,0,0,0
71,YN-0097,55,55,-,-,-
71,YN-0098,55,55,0,-,-
71,YN-0102,55,55,0,-,-
71,YN-0103,55,55,0,0,0
71,YN-0112,55,55,-,0,0
79,YN-0060,52,40,12,0,0
80,YN-0037,50,50,0,-,-
80,YN-0064,50,50,0,0,-
82,YN-0038,49,45,4,0,0
82,YN-0049,49,40,4,0,5
84,YN-0081,35,35,0,-,-
85,YN-0027,25,25,-,-,-
85,YN-0030,25,25,0,0,-
85,YN-0042,25,25,-,-,-
85,YN-0072,25,25,-,-,-
89,YN-0054,20,20,-,-,-
89,YN-0057,20,20,-,-,-
91,YN-0047,15,15,0,-,-
91,YN-0052,15,15,0,0,0
91,YN-0069,15,15,0,-,0
94,YN-0065,10,10,-,-,-
94,YN-0104,10,10,0,-,-
96,YN-0089,5,5,0,0,0
96,YN-0095,5,5,0,0,0
96,YN-0100,5,5,0,0,0
99,YN-0028,0,0,0,-,-
99,YN-0058,0,0,0,0,0
99,YN-0068,0,0,-,-,-
99,YN-0070,0,0,0,0,0
99,YN-0075,0,0,0,-,-
99,YN-0077,0,0,0,-,-
99,YN-0083,0,0,0,0,0
99,YN-0091,0,0,0,0,0
99,YN-0092,0,0,0,-,-
99,YN-0101,0,0,0,0,0
