#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,ZJ-0007,400,100,100,100,100
1,ZJ-0009,400,100,100,100,100
3,ZJ-0706,376,100,100,76,100
3,ZJ-0710,376,100,100,76,100
5,ZJ-0003,371,100,100,76,95
6,ZJ-0027,351,100,100,76,75
7,ZJ-0005,346,95,100,76,75
8,ZJ-0010,340,100,100,80,60
9,ZJ-0001,331,100,100,76,55
9,ZJ-0707,331,100,100,76,55
11,ZJ-0021,328,100,100,48,80
12,ZJ-0019,326,100,100,76,50
13,ZJ-0004,321,100,100,56,65
14,ZJ-0062,315,100,100,40,75
15,ZJ-0011,313,100,100,68,45
15,ZJ-0050,313,100,100,48,65
17,ZJ-0046,311,100,100,76,35
18,ZJ-0124,308,100,100,48,60
19,ZJ-0037,301,100,100,56,45
19,ZJ-0053,301,100,100,56,45
21,ZJ-0052,296,100,100,56,40
22,ZJ-0709,293,100,100,48,45
23,ZJ-0139,286,100,100,56,30
24,ZJ-0042,284,100,100,44,40
25,ZJ-0040,283,100,100,8,75
26,ZJ-0055,271,95,100,76,0
27,ZJ-0035,267,100,92,60,15
28,ZJ-0015,265,100,100,0,65
29,ZJ-0034,263,100,100,48,15
30,ZJ-0006,262,95,24,68,75
31,ZJ-0711,261,60,100,76,25
32,ZJ-0016,258,95,100,48,15
33,ZJ-0008,249,100,20,64,65
34,ZJ-0044,248,100,100,8,40
34,ZJ-0123,248,100,100,8,40
34,ZJ-0134,248,100,92,16,40
34,ZJ-0179,248,100,100,48,0
38,ZJ-0032,245,100,52,48,45
38,ZJ-0708,245,100,100,0,45
40,ZJ-0047,244,100,100,4,40
41,ZJ-0054,242,95,92,-,55
42,ZJ-0058,241,100,92,44,5
43,ZJ-0131,240,100,100,40,0
44,ZJ-0018,239,100,100,24,15
44,ZJ-0039,239,100,100,24,15
44,ZJ-0045,239,100,100,24,15
47,ZJ-0126,238,100,100,8,30
48,ZJ-0043,234,95,100,24,15
49,ZJ-0181,233,100,100,8,25
50,ZJ-0031,232,100,44,48,40
50,ZJ-0308,232,95,100,32,5
52,ZJ-0002,231,95,48,48,40
52,ZJ-0012,231,100,56,-,75
52,ZJ-0073,231,100,100,16,15
55,ZJ-0056,230,90,92,48,0
56,ZJ-0081,229,100,100,24,5
57,ZJ-0069,225,100,100,0,25
58,ZJ-0023,224,100,100,24,0
59,ZJ-0340,220,95,100,-,25
60,ZJ-0163,216,100,100,16,0
61,ZJ-0038,215,100,32,48,35
62,ZJ-0051,212,100,24,48,40
62,ZJ-0110,212,100,100,12,0
64,ZJ-0026,210,100,100,0,10
64,ZJ-0203,210,95,100,0,15
66,ZJ-0014,208,100,20,48,40
66,ZJ-0085,208,100,100,8,0
66,ZJ-0087,208,100,28,40,40
69,ZJ-0095,205,100,92,8,5
70,ZJ-0375,203,95,100,8,-
71,ZJ-0276,202,100,32,40,30
72,ZJ-0135,200,100,100,0,0
72,ZJ-0137,200,100,100,0,-
72,ZJ-0259,200,95,92,8,5
75,ZJ-0117,199,95,48,16,40
76,ZJ-0022,196,100,20,76,-
77,ZJ-0103,195,95,92,8,-
77,ZJ-0148,195,95,100,0,0
79,ZJ-0033,190,100,20,40,30
80,ZJ-0077,189,95,48,16,30
81,ZJ-0061,186,100,32,24,30
82,ZJ-0149,185,100,52,8,25
83,ZJ-0025,180,100,0,40,40
84,ZJ-0230,179,100,48,16,15
85,ZJ-0245,176,95,72,4,5
86,ZJ-0150,175,100,52,8,15
87,ZJ-0091,169,100,0,24,45
88,ZJ-0072,168,80,40,48,0
88,ZJ-0712,168,100,28,0,40
90,ZJ-0097,166,100,28,8,30
90,ZJ-0241,166,95,28,8,35
92,ZJ-0024,165,100,20,40,5
92,ZJ-0071,165,100,44,16,5
92,ZJ-0302,165,100,52,8,5
95,ZJ-0084,164,95,44,0,25
95,ZJ-0233,164,100,32,32,0
97,ZJ-0138,163,95,52,16,0
97,ZJ-0142,163,100,48,-,15
99,ZJ-0017,161,100,16,0,45
99,ZJ-0028,161,95,28,8,30
99,ZJ-0200,161,100,32,24,5
102,ZJ-0094,160,100,52,8,0
102,ZJ-0147,160,100,48,12,0
102,ZJ-0280,160,95,20,40,5
105,ZJ-0157,159,95,28,16,20
105,ZJ-0433,159,95,24,0,40
107,ZJ-0020,158,95,40,8,15
107,ZJ-0152,158,100,28,0,30
109,ZJ-0196,157,100,52,-,5
109,ZJ-0199,157,100,28,24,5
111,ZJ-0102,156,100,48,8,0
112,ZJ-0068,155,95,28,32,0
113,ZJ-0118,154,85,48,16,5
113,ZJ-0296,154,100,24,0,30
113,ZJ-0341,154,100,8,16,30
116,ZJ-0089,153,100,20,8,25
116,ZJ-0101,153,100,28,0,25
116,ZJ-0190,153,100,20,8,25
116,ZJ-0367,153,100,48,0,5
116,ZJ-0485,153,100,24,24,5
121,ZJ-0064,152,100,4,8,40
121,ZJ-0111,152,100,24,8,20
121,ZJ-0184,152,100,52,0,0
121,ZJ-0223,152,100,24,8,20
121,ZJ-0258,152,95,32,0,25
126,ZJ-0036,150,100,20,0,30
126,ZJ-0105,150,100,12,8,30
128,ZJ-0070,149,100,28,16,5
128,ZJ-0158,149,95,44,-,10
128,ZJ-0213,149,100,44,0,5
128,ZJ-0293,149,100,44,0,5
132,ZJ-0057,148,100,8,40,0
132,ZJ-0100,148,100,0,48,0
132,ZJ-0114,148,100,32,16,0
132,ZJ-0175,148,100,0,8,40
132,ZJ-0176,148,100,48,0,-
132,ZJ-0295,148,80,48,0,20
138,ZJ-0160,147,95,24,8,20
139,ZJ-0104,146,95,24,12,15
140,ZJ-0385,145,100,20,0,25
141,ZJ-0211,144,95,40,4,5
141,ZJ-0288,144,100,0,24,20
141,ZJ-0520,144,100,20,24,0
144,ZJ-0067,143,95,0,8,40
144,ZJ-0076,143,100,20,8,15
144,ZJ-0186,143,90,24,24,5
144,ZJ-0262,143,95,28,0,20
144,ZJ-0267,143,85,28,0,30
144,ZJ-0339,143,95,24,24,-
150,ZJ-0029,142,85,32,0,25
150,ZJ-0281,142,85,44,8,5
152,ZJ-0065,141,100,28,8,5
152,ZJ-0178,141,100,28,8,5
152,ZJ-0370,141,100,28,8,5
152,ZJ-0431,141,100,24,12,5
156,ZJ-0013,140,100,0,0,40
156,ZJ-0136,140,100,24,16,0
156,ZJ-0401,140,95,40,0,5
159,ZJ-0192,139,95,44,0,0
159,ZJ-0509,139,95,44,-,-
161,ZJ-0041,137,100,24,8,5
