#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,SD-0008,361,100,96,100,65
2,SD-0005,318,100,100,48,70
3,SD-0030,316,100,100,76,40
4,SD-0613,305,95,100,100,10
5,SD-0002,301,100,100,16,85
6,SD-0621,298,100,100,48,50
7,SD-0009,293,100,92,56,45
7,SD-0024,293,100,100,48,45
9,SD-0029,290,100,100,40,50
10,SD-0007,288,100,100,48,40
10,SD-0015,288,100,100,48,40
10,SD-0020,288,100,100,48,40
10,SD-0032,288,100,100,48,40
10,SD-0171,288,100,100,48,40
15,SD-0617,284,100,100,44,40
16,SD-0052,280,100,100,40,40
17,SD-0006,278,100,100,48,30
17,SD-0012,278,100,100,48,30
19,SD-0033,273,100,100,48,25
20,SD-0011,270,100,92,48,30
21,SD-0614,263,100,100,48,15
22,SD-0003,260,95,100,-,65
23,SD-0059,256,100,100,16,40
23,SD-0623,256,100,100,16,40
25,SD-0618,252,95,92,40,25
26,SD-0056,250,95,92,48,15
27,SD-0108,248,95,100,48,5
28,SD-0045,243,100,100,8,35
29,SD-0039,240,100,100,0,40
29,SD-0042,240,100,100,0,40
29,SD-0079,240,100,100,0,40
32,SD-0620,238,100,100,8,30
32,SD-0632,238,100,100,8,30
34,SD-0615,233,100,100,8,25
35,SD-0023,230,100,92,8,30
35,SD-0086,230,100,44,16,70
37,SD-0004,225,95,100,0,30
38,SD-0014,224,100,100,24,0
39,SD-0072,222,100,52,40,30
40,SD-0068,220,100,100,0,20
41,SD-0616,216,100,28,48,40
42,SD-0075,208,100,100,8,0
42,SD-0118,208,100,100,8,-
44,SD-0064,205,100,100,0,5
45,SD-0001,200,100,100,0,0
45,SD-0053,200,100,100,0,0
47,SD-0095,198,100,52,16,30
48,SD-0013,196,100,8,48,40
48,SD-0076,196,95,92,4,5
48,SD-0661,196,100,48,8,40
48,SD-0759,196,75,100,16,5
52,SD-0040,195,100,52,8,35
52,SD-0659,195,95,92,8,0
54,SD-0107,193,100,52,16,25
55,SD-0034,192,100,92,-,0
56,SD-0018,184,100,4,40,40
56,SD-0094,184,100,44,0,40
56,SD-0622,184,100,28,16,40
59,SD-0105,182,100,8,44,30
59,SD-0644,182,100,52,0,30
61,SD-0139,180,100,28,12,40
62,SD-0019,177,100,52,0,25
63,SD-0629,176,100,28,8,40
64,SD-0235,175,100,20,40,15
64,SD-0619,175,100,52,8,15
66,SD-0821,174,100,28,16,30
67,SD-0641,173,100,48,0,25
68,SD-0036,172,100,72,0,0
68,SD-0060,172,100,72,-,0
68,SD-0088,172,100,72,0,0
68,SD-0157,172,100,44,8,20
68,SD-0175,172,85,44,8,35
73,SD-0207,170,85,44,16,25
74,SD-0057,169,95,28,16,30
74,SD-0112,169,100,52,12,5
74,SD-0122,169,100,40,24,5
74,SD-0306,169,100,48,16,5
78,SD-0061,168,100,48,0,20
78,SD-0069,168,100,20,8,40
78,SD-0096,168,100,20,8,40
78,SD-0287,168,100,52,16,-
82,SD-0071,167,100,44,8,15
82,SD-0127,167,95,24,8,40
84,SD-0067,166,100,28,8,30
84,SD-0206,166,100,20,16,30
86,SD-0078,165,100,52,8,5
86,SD-0167,165,100,24,16,25
88,SD-0303,164,100,64,0,0
89,SD-0017,163,95,68,0,0
89,SD-0089,163,100,48,0,15
89,SD-0098,163,95,28,0,40
89,SD-0631,163,100,40,8,15
89,SD-0809,163,100,40,8,15
94,SD-0197,162,100,24,8,30
95,SD-0087,161,95,20,16,30
95,SD-0748,161,100,48,8,5
95,SD-0791,161,100,20,16,25
98,SD-0082,160,95,24,16,25
98,SD-0133,160,95,52,8,5
98,SD-0302,160,100,52,8,-
98,SD-0308,160,100,52,8,-
98,SD-0624,160,100,20,0,40
98,SD-0628,160,100,60,0,-
104,SD-0028,159,100,28,16,15
105,SD-0048,157,100,52,0,5
105,SD-0073,157,100,40,12,5
105,SD-0626,157,95,32,0,30
105,SD-0674,157,100,52,0,5
109,SD-0649,156,95,56,0,5
109,SD-0742,156,100,28,8,20
109,SD-0776,156,100,48,8,0
112,SD-0221,155,95,52,8,0
112,SD-0646,155,100,20,0,35
114,SD-0049,153,100,8,-,45
114,SD-0662,153,100,28,0,25
114,SD-0714,153,95,28,0,30
117,SD-0031,152,100,52,0,0
117,SD-0041,152,100,44,8,0
117,SD-0058,152,100,24,8,20
117,SD-0637,152,100,44,8,0
117,SD-0639,152,100,52,0,0
117,SD-0652,152,100,44,8,0
123,SD-0038,151,95,8,8,40
123,SD-0077,151,100,28,8,15
125,SD-0119,150,95,24,16,15
126,SD-0063,149,100,44,0,5
126,SD-0093,149,100,24,0,25
128,SD-0196,148,100,40,8,0
128,SD-0244,148,100,28,0,20
128,SD-0334,148,95,28,0,25
128,SD-0723,148,100,48,0,-
132,SD-0389,147,95,32,0,20
132,SD-0457,147,95,52,0,0
134,SD-0083,146,100,36,0,10
134,SD-0636,146,95,20,16,15
136,SD-0148,145,100,24,16,5
136,SD-0260,145,95,32,8,10
138,SD-0343,144,90,44,0,10
138,SD-0753,144,100,44,-,0
138,SD-0767,144,100,44,0,0
141,SD-0091,143,100,20,8,15
141,SD-0149,143,100,28,0,15
141,SD-0176,143,100,28,0,15
141,SD-0212,143,100,20,8,15
141,SD-0643,143,100,28,0,15
141,SD-0726,143,100,20,8,15
147,SD-0671,142,95,32,0,15
148,SD-0290,141,100,28,8,5
148,SD-0818,141,100,28,8,5
150,SD-0055,140,95,40,0,5
150,SD-0120,140,95,32,8,5
150,SD-0417,140,80,36,24,0
150,SD-0763,140,100,28,12,0
154,SD-0051,139,100,24,0,15
154,SD-0106,139,100,4,0,35
154,SD-0297,139,95,28,16,0
154,SD-0635,139,95,44,0,0
158,SD-0065,138,100,28,0,10
158,SD-0141,138,95,20,8,15
158,SD-0192,138,90,40,8,-
158,SD-0811,138,90,32,16,0
162,SD-0100,137,100,24,8,5
162,SD-0109,137,100,16,16,5
162,SD-0129,137,85,44,8,0
162,SD-0299,137,100,24,8,5
162,SD-0309,137,100,24,8,5
162,SD-0404,137,100,28,4,5
162,SD-0684,137,100,24,8,5
162,SD-0695,137,100,24,8,5
162,SD-0717,137,100,24,8,5
